cartodb_id,action,is_point,official,mang_plan,int_crit,mang_auth,gov_type,status_yr,status,rep_area,rep_m_area,marine,iucncat,desig_type,desig_eng,desig,sub_loc,orig_name,name,country,wdpa_pid,objectid,wdpaid,created_at,updated_at,the_geom
3,,0,1,,,,Federal or National ministry or agency in charge,1995,Designated,646.600000000000023,,0,II,National,National Park (State Network),National Park (State Network),,Parque Nacional de la Montaña de Covadonga,Parque Nacional de la Montaña de Covadonga,ESP,,39471,892,2011-10-04 13:40:26.56487,2011-10-04 13:40:26.613431,"{""type"":""MultiPolygon"",""coordinates"":[[[[-4.83976,43.18459],[-4.83968,43.18941],[-4.83895,43.1907],[-4.83794,43.19357],[-4.84363,43.19704],[-4.84736,43.19787],[-4.84788,43.19859],[-4.8515,43.20011],[-4.85156,43.20135],[-4.853,43.20306],[-4.85394,43.20395],[-4.85472,43.20398],[-4.85434,43.20641],[-4.85559,43.2079],[-4.86042,43.20943],[-4.86011,43.21099],[-4.8589,43.21227],[-4.85931,43.2138],[-4.86128,43.21608],[-4.85907,43.21742],[-4.85829,43.21936],[-4.85908,43.22114],[-4.85889,43.22221],[-4.86317,43.22491],[-4.86604,43.22849],[-4.87235,43.23347],[-4.87887,43.23584],[-4.88084,43.2358],[-4.88636,43.24004],[-4.88965,43.24015],[-4.88966,43.23803],[-4.89121,43.23629],[-4.89307,43.23437],[-4.89423,43.23159],[-4.89484,43.22938],[-4.89498,43.22747],[-4.89597,43.22539],[-4.89801,43.22351],[-4.89895,43.22201],[-4.89959,43.22059],[-4.9004,43.21869],[-4.90085,43.21706],[-4.90099,43.21547],[-4.90083,43.21399],[-4.90007,43.21092],[-4.90044,43.20875],[-4.90144,43.20693],[-4.90336,43.20532],[-4.90461,43.20363],[-4.90538,43.20033],[-4.90613,43.19828],[-4.90551,43.19595],[-4.90411,43.1942],[-4.90284,43.19287],[-4.90188,43.19112],[-4.90097,43.1892],[-4.90084,43.18703],[-4.90091,43.18486],[-4.90074,43.18328],[-4.90015,43.18166],[-4.90191,43.18096],[-4.90442,43.18043],[-4.90719,43.18048],[-4.90994,43.17999],[-4.91262,43.17914],[-4.91463,43.17861],[-4.91725,43.17772],[-4.92019,43.17718],[-4.92195,43.17638],[-4.92383,43.17569],[-4.92589,43.17443],[-4.92782,43.17319],[-4.93011,43.1706],[-4.93178,43.16952],[-4.93561,43.16759],[-4.93746,43.16624],[-4.93931,43.16512],[-4.94099,43.16309],[-4.94395,43.16167],[-4.94525,43.16058],[-4.9476,43.15838],[-4.95074,43.15816],[-4.95307,43.15866],[-4.9546,43.16021],[-4.95871,43.16198],[-4.96042,43.16302],[-4.96171,43.16415],[-4.96324,43.16497],[-4.96999,43.16689],[-4.9738,43.1674],[-4.97577,43.16741],[-4.97872,43.16777],[-4.98075,43.16819],[-4.98499,43.16847],[-4.98708,43.1687],[-4.99002,43.16997],[-4.99386,43.17236],[-4.99439,43.17371],[-4.9945,43.1756],[-4.9944,43.17849],[-4.99411,43.18112],[-4.99418,43.18356],[-4.99467,43.18512],[-4.99541,43.18611],[-4.9956,43.1769],[-5.00022,43.18012],[-5.007,43.18242],[-5.00956,43.18253],[-5.01627,43.18575],[-5.01965,43.18892],[-5.02314,43.18907],[-5.02953,43.18743],[-5.03963,43.18849],[-5.04421,43.1877],[-5.04874,43.18748],[-5.05206,43.18658],[-5.05166,43.18785],[-5.05243,43.1894],[-5.05299,43.1895],[-5.05105,43.19014],[-5.05032,43.19041],[-5.04886,43.19141],[-5.04813,43.19168],[-5.04679,43.1925],[-5.0446,43.19421],[-5.0435,43.19538],[-5.04266,43.19646],[-5.04218,43.19825],[-5.04219,43.19933],[-5.04195,43.20005],[-5.04172,43.20211],[-5.04124,43.20337],[-5.04027,43.20525],[-5.03894,43.20732],[-5.03882,43.20778],[-5.03834,43.2085],[-5.03308,43.20969],[-5.0326,43.20996],[-5.03211,43.21041],[-5.03077,43.21113],[-5.02955,43.21212],[-5.02858,43.21303],[-5.02883,43.21445],[-5.02896,43.2149],[-5.02982,43.2158],[-5.03142,43.21696],[-5.03302,43.21829],[-5.03352,43.21883],[-5.03487,43.21998],[-5.03758,43.22239],[-5.03795,43.22293],[-5.03881,43.22373],[-5.04116,43.22694],[-5.04141,43.22757],[-5.04215,43.22837],[-5.04301,43.22963],[-5.04326,43.23016],[-5.04363,43.23061],[-5.0445,43.23212],[-5.04538,43.23571],[-5.04527,43.2366],[-5.04552,43.23812],[-5.04565,43.23857],[-5.04651,43.23974],[-5.04737,43.24044],[-5.04848,43.24107],[-5.05057,43.24276],[-5.05119,43.24383],[-5.05232,43.24714],[-5.05245,43.24786],[-5.05295,43.2492],[-5.05407,43.25243],[-5.05433,43.25377],[-5.05508,43.25645],[-5.0557,43.25779],[-5.05706,43.25975],[-5.05755,43.25948],[-5.05828,43.2593],[-5.06,43.25948],[-5.06356,43.25999],[-5.06429,43.26007],[-5.06601,43.26061],[-5.07042,43.26157],[-5.07214,43.26218],[-5.08148,43.26563],[-5.08369,43.2667],[-5.0848,43.2675],[-5.08628,43.26892],[-5.08801,43.27098],[-5.08839,43.27241],[-5.08913,43.27357],[-5.08975,43.2741],[-5.09146,43.27437],[-5.09404,43.27525],[-5.09478,43.27542],[-5.0965,43.27631],[-5.10055,43.27745],[-5.10288,43.27789],[-5.10349,43.27779],[-5.10509,43.27805],[-5.1057,43.27841],[-5.10546,43.27903],[-5.10535,43.27949],[-5.10535,43.28056],[-5.10598,43.28217],[-5.10673,43.2836],[-5.10784,43.28494],[-5.10969,43.28672],[-5.11117,43.28841],[-5.11217,43.28993],[-5.11266,43.29056],[-5.11292,43.29208],[-5.11305,43.29316],[-5.11281,43.29387],[-5.1127,43.29522],[-5.11223,43.29711],[-5.11138,43.29882],[-5.1103,43.30061],[-5.10884,43.30277],[-5.10593,43.30565],[-5.10544,43.3061],[-5.1041,43.30683],[-5.10288,43.30746],[-5.1019,43.30774],[-5.10068,43.3082],[-5.10007,43.30829],[-5.09823,43.30875],[-5.09578,43.30921],[-5.09273,43.30968],[-5.08771,43.31033],[-5.0844,43.31061],[-5.07926,43.31082],[-5.07864,43.31073],[-5.0768,43.31075],[-5.07423,43.31058],[-5.073,43.31059],[-5.07141,43.31042],[-5.0708,43.31051],[-5.06921,43.31097],[-5.06847,43.31115],[-5.06725,43.31179],[-5.06652,43.31214],[-5.06616,43.31251],[-5.06555,43.31287],[-5.0642,43.31332],[-5.06334,43.31342],[-5.06211,43.31298],[-5.06064,43.31227],[-5.05854,43.31084],[-5.05781,43.31049],[-5.05719,43.31031],[-5.05621,43.31023],[-5.05401,43.31068],[-5.0534,43.31078],[-5.05266,43.31105],[-5.05205,43.31114],[-5.05144,43.31133],[-5.05046,43.31187],[-5.04778,43.31314],[-5.04729,43.31342],[-5.04509,43.31396],[-5.04276,43.31433],[-5.03786,43.31489],[-5.03713,43.3148],[-5.03541,43.31392],[-5.03245,43.31143],[-5.03158,43.31036],[-5.03059,43.30928],[-5.02936,43.3084],[-5.02862,43.30795],[-5.02801,43.30741],[-5.02641,43.30661],[-5.02371,43.30546],[-5.02162,43.30511],[-5.02039,43.30503],[-5.0188,43.30531],[-5.01452,43.30596],[-5.01268,43.30605],[-5.01207,43.30597],[-5.01133,43.30571],[-5.01096,43.30534],[-5.01047,43.30463],[-5.00923,43.30339],[-5.00862,43.30294],[-5.00825,43.30249],[-5.00763,43.30204],[-5.00677,43.30097],[-5.00516,43.29928],[-5.00479,43.29892],[-5.0043,43.29866],[-5.00222,43.29839],[-5.00148,43.29849],[-5.00075,43.29876],[-5.00014,43.29885],[-4.99769,43.29887],[-4.99682,43.29834],[-4.99522,43.29708],[-4.99387,43.29575],[-4.99313,43.29512],[-4.9919,43.29441],[-4.98956,43.29335],[-4.98502,43.29193],[-4.98097,43.29087],[-4.98036,43.29079],[-4.97424,43.29081],[-4.97203,43.29056],[-4.97105,43.29047],[-4.9697,43.29012],[-4.96663,43.28915],[-4.96614,43.28888],[-4.96516,43.28853],[-4.96282,43.28665],[-4.9622,43.28639],[-4.96122,43.28577],[-4.9594,43.289],[-4.95904,43.28999],[-4.95795,43.29242],[-4.95662,43.29556],[-4.95565,43.29744],[-4.95529,43.29843],[-4.95493,43.29906],[-4.95432,43.30049],[-4.95311,43.30301],[-4.95178,43.30534],[-4.95032,43.30723],[-4.94849,43.30922],[-4.94739,43.31012],[-4.94629,43.31066],[-4.94568,43.31084],[-4.94384,43.31103],[-4.94274,43.31104],[-4.94151,43.31077],[-4.93979,43.30997],[-4.93906,43.30961],[-4.93783,43.30882],[-4.93524,43.3073],[-4.9334,43.30659],[-4.93267,43.30642],[-4.93083,43.30687],[-4.929,43.30751],[-4.92765,43.30796],[-4.92692,43.30832],[-4.92631,43.30851],[-4.92557,43.30887],[-4.92361,43.30941],[-4.92117,43.30987],[-4.91921,43.31005],[-4.91749,43.31007],[-4.91614,43.3098],[-4.91418,43.30927],[-4.91185,43.30847],[-4.91025,43.30794],[-4.90951,43.30758],[-4.90791,43.30652],[-4.90484,43.30455],[-4.90201,43.30259],[-4.8998,43.30126],[-4.89906,43.30072],[-4.8982,43.30037],[-4.89771,43.30001],[-4.89624,43.29921],[-4.89415,43.29814],[-4.89317,43.29797],[-4.89195,43.29842],[-4.89024,43.29959],[-4.88962,43.29995],[-4.88853,43.30085],[-4.88804,43.30112],[-4.88608,43.30185],[-4.884,43.30239],[-4.88265,43.30267],[-4.88204,43.30267],[-4.87984,43.30295],[-4.87518,43.30225],[-4.87297,43.30172],[-4.87125,43.30127],[-4.8699,43.30074],[-4.8688,43.30003],[-4.86646,43.29878],[-4.86474,43.29771],[-4.86339,43.29753],[-4.86242,43.2979],[-4.86205,43.29826],[-4.86046,43.29907],[-4.86034,43.29907],[-4.85837,43.29836],[-4.85739,43.29774],[-4.85678,43.29747],[-4.85629,43.29711],[-4.8553,43.29685],[-4.85432,43.29686],[-4.85298,43.29713],[-4.84857,43.29867],[-4.84624,43.29823],[-4.84514,43.29725],[-4.84452,43.29634],[-4.84366,43.29474],[-4.84329,43.29411],[-4.84279,43.29268],[-4.8423,43.29214],[-4.84021,43.29],[-4.83775,43.28857],[-4.8364,43.28804],[-4.8326,43.28598],[-4.83051,43.2851],[-4.82953,43.28475],[-4.82904,43.28447],[-4.82683,43.28349],[-4.82622,43.28332],[-4.82475,43.2827],[-4.81996,43.28074],[-4.81739,43.27985],[-4.81407,43.27888],[-4.81077,43.27798],[-4.80844,43.27719],[-4.80598,43.27648],[-4.80292,43.27533],[-4.79961,43.27426],[-4.79201,43.27159],[-4.78857,43.2708],[-4.78637,43.27063],[-4.78147,43.27037],[-4.77816,43.27029],[-4.77657,43.27029],[-4.7751,43.27057],[-4.7729,43.27074],[-4.76984,43.27112],[-4.76653,43.27139],[-4.76212,43.27186],[-4.75882,43.27231],[-4.75625,43.27268],[-4.7549,43.27313],[-4.75282,43.27367],[-4.75062,43.27439],[-4.74829,43.27529],[-4.74719,43.27583],[-4.74609,43.27673],[-4.7456,43.27754],[-4.74573,43.27907],[-4.74708,43.28265],[-4.74708,43.28355],[-4.74684,43.284],[-4.74623,43.28427],[-4.74402,43.28454],[-4.74256,43.28481],[-4.74182,43.28481],[-4.74047,43.28508],[-4.73729,43.28564],[-4.733,43.28636],[-4.7308,43.2869],[-4.72615,43.28799],[-4.72211,43.28898],[-4.72039,43.28971],[-4.71868,43.29061],[-4.71745,43.2916],[-4.71635,43.29187],[-4.71537,43.29177],[-4.71451,43.29134],[-4.71365,43.29062],[-4.7128,43.28963],[-4.71243,43.28928],[-4.71169,43.28829],[-4.71046,43.28632],[-4.71022,43.28587],[-4.70985,43.28552],[-4.7096,43.28507],[-4.70887,43.28426],[-4.70506,43.28095],[-4.70335,43.28015],[-4.70273,43.27988],[-4.70102,43.27962],[-4.70041,43.27971],[-4.69967,43.27998],[-4.69796,43.28106],[-4.69735,43.28142],[-4.69649,43.2824],[-4.69551,43.28357],[-4.69502,43.28394],[-4.69343,43.28411],[-4.69233,43.28412],[-4.69049,43.28376],[-4.68865,43.28323],[-4.68669,43.28189],[-4.68645,43.28144],[-4.68534,43.28028],[-4.68338,43.27804],[-4.68203,43.2767],[-4.68068,43.27589],[-4.67933,43.27554],[-4.67872,43.27527],[-4.67811,43.27527],[-4.67737,43.27509],[-4.6759,43.2751],[-4.6748,43.27518],[-4.67309,43.27555],[-4.67076,43.27618],[-4.66819,43.27699],[-4.66623,43.27753],[-4.66402,43.27834],[-4.65974,43.27997],[-4.65753,43.27971],[-4.65692,43.27917],[-4.65177,43.27604],[-4.64981,43.27533],[-4.64896,43.27515],[-4.64822,43.27515],[-4.64651,43.27542],[-4.64246,43.27596],[-4.63547,43.27665],[-4.63521,43.27558],[-4.63361,43.27258],[-4.63038,43.27192],[-4.63061,43.27146],[-4.64404,43.27244],[-4.64898,43.27262],[-4.65248,43.26968],[-4.65493,43.2694],[-4.6579,43.26836],[-4.66811,43.26902],[-4.67234,43.27109],[-4.67645,43.27187],[-4.68174,43.27143],[-4.68293,43.26979],[-4.68491,43.26914],[-4.68636,43.27003],[-4.68861,43.27028],[-4.69212,43.26775],[-4.69552,43.26964],[-4.69884,43.26877],[-4.70362,43.2691],[-4.70387,43.26974],[-4.70477,43.27067],[-4.705,43.27006],[-4.71035,43.26477],[-4.71788,43.26338],[-4.72022,43.26222],[-4.72206,43.26203],[-4.72224,43.26092],[-4.72444,43.26012],[-4.72832,43.26015],[-4.72968,43.26114],[-4.72954,43.25621],[-4.72727,43.25178],[-4.72408,43.24876],[-4.7219,43.24486],[-4.72032,43.24343],[-4.71947,43.24304],[-4.71858,43.24118],[-4.71874,43.23922],[-4.72039,43.2333],[-4.72285,43.23267],[-4.72329,43.23195],[-4.72866,43.22789],[-4.7307,43.22472],[-4.72706,43.22054],[-4.73034,43.21659],[-4.73481,43.21279],[-4.7352,43.2105],[-4.73457,43.20555],[-4.73565,43.20333],[-4.73377,43.20077],[-4.73226,43.19841],[-4.73203,43.19663],[-4.73255,43.19425],[-4.73635,43.19146],[-4.73716,43.19019],[-4.74044,43.18997],[-4.74237,43.18826],[-4.74454,43.18792],[-4.75207,43.1884],[-4.76279,43.1921],[-4.77666,43.19587],[-4.77894,43.19493],[-4.78476,43.19068],[-4.78835,43.18931],[-4.79487,43.18837],[-4.79809,43.18722],[-4.8029,43.18678],[-4.80419,43.1859],[-4.80987,43.18513],[-4.81214,43.18654],[-4.81537,43.18716],[-4.81626,43.18785],[-4.81778,43.18277],[-4.81987,43.18344],[-4.82059,43.18309],[-4.82965,43.18241],[-4.83111,43.18364],[-4.8357,43.1847],[-4.83867,43.18445],[-4.83976,43.18459]],[[-4.83003,43.18467],[-4.82989,43.18465],[-4.8293,43.18462],[-4.82842,43.18462],[-4.82783,43.18466],[-4.82711,43.18475],[-4.8264,43.18489],[-4.8257,43.18507],[-4.82517,43.18525],[-4.82452,43.1855],[-4.8244,43.18557],[-4.82415,43.18568],[-4.82345,43.18607],[-4.82291,43.18644],[-4.82251,43.18675],[-4.82205,43.18718],[-4.82165,43.18763],[-4.8213,43.18811],[-4.82112,43.1884],[-4.82091,43.1888],[-4.82074,43.18921],[-4.82064,43.18953],[-4.82054,43.18996],[-4.82051,43.19016],[-4.82047,43.19059],[-4.82047,43.19103],[-4.82055,43.19167],[-4.82069,43.1922],[-4.8208,43.19251],[-4.82109,43.19312],[-4.8214,43.19361],[-4.82177,43.19408],[-4.82201,43.19434],[-4.82246,43.19477],[-4.82296,43.19517],[-4.82317,43.19532],[-4.82362,43.1956],[-4.82385,43.19573],[-4.82459,43.19609],[-4.82564,43.19648],[-4.82619,43.19663],[-4.82718,43.19682],[-4.82761,43.19688],[-4.8282,43.19693],[-4.82864,43.19695],[-4.82923,43.19695],[-4.83011,43.19689],[-4.83083,43.19679],[-4.83153,43.19664],[-4.83181,43.19656],[-4.83195,43.19654],[-4.83236,43.1964],[-4.83249,43.19637],[-4.83327,43.19606],[-4.83388,43.19576],[-4.83423,43.19556],[-4.83488,43.19513],[-4.83538,43.19473],[-4.83565,43.19448],[-4.83621,43.19385],[-4.83649,43.19346],[-4.83667,43.19316],[-4.83688,43.19276],[-4.83701,43.19246],[-4.83718,43.19193],[-4.83725,43.19162],[-4.8373,43.19129],[-4.83732,43.19108],[-4.83732,43.19054],[-4.83724,43.1899],[-4.83713,43.18947],[-4.83699,43.18905],[-4.8367,43.18845],[-4.83639,43.18795],[-4.83618,43.18768],[-4.83594,43.1874],[-4.83551,43.18696],[-4.83503,43.18655],[-4.83493,43.18649],[-4.83462,43.18625],[-4.83417,43.18597],[-4.83346,43.1856],[-4.83295,43.18537],[-4.83202,43.18505],[-4.8316,43.18494],[-4.8309,43.18479],[-4.83003,43.18467]],[[-4.84412,43.21486],[-4.84471,43.21488],[-4.84559,43.21486],[-4.84617,43.2148],[-4.84689,43.21469],[-4.84746,43.21457],[-4.84828,43.21434],[-4.84881,43.21415],[-4.84944,43.21387],[-4.85015,43.21349],[-4.8507,43.21313],[-4.85091,43.21298],[-4.8513,43.21266],[-4.85166,43.21232],[-4.85214,43.21177],[-4.85241,43.21139],[-4.8527,43.2109],[-4.85289,43.21049],[-4.8531,43.20987],[-4.85319,43.20944],[-4.85324,43.20901],[-4.85324,43.20847],[-4.85318,43.20794],[-4.85308,43.2075],[-4.85287,43.20688],[-4.85262,43.20638],[-4.85231,43.20589],[-4.8521,43.2056],[-4.8517,43.20515],[-4.85125,43.20472],[-4.85054,43.20418],[-4.85009,43.2039],[-4.8495,43.20358],[-4.84887,43.2033],[-4.84821,43.20306],[-4.8471,43.20277],[-4.84639,43.20265],[-4.84566,43.20257],[-4.84522,43.20255],[-4.84478,43.20254],[-4.84375,43.20259],[-4.84288,43.20271],[-4.84231,43.20282],[-4.84148,43.20304],[-4.84069,43.20333],[-4.83995,43.20367],[-4.83925,43.20407],[-4.83862,43.20452],[-4.83824,43.20485],[-4.83797,43.20511],[-4.8378,43.20528],[-4.83749,43.20565],[-4.83722,43.20603],[-4.83698,43.20643],[-4.83678,43.20683],[-4.83662,43.20725],[-4.83656,43.20745],[-4.83648,43.20777],[-4.83641,43.20821],[-4.83638,43.20863],[-4.83639,43.20895],[-4.83643,43.20938],[-4.83649,43.20971],[-4.83664,43.21023],[-4.83672,43.21044],[-4.83685,43.21075],[-4.83701,43.21105],[-4.83732,43.21154],[-4.83776,43.21209],[-4.83819,43.21254],[-4.83857,43.21286],[-4.83899,43.21317],[-4.83965,43.21359],[-4.84038,43.21396],[-4.84115,43.21427],[-4.84169,43.21444],[-4.84225,43.21459],[-4.84296,43.21473],[-4.84353,43.21481],[-4.84412,43.21486]],[[-4.89651,43.25539],[-4.89695,43.25541],[-4.89754,43.25541],[-4.89842,43.25535],[-4.89914,43.25525],[-4.89985,43.2551],[-4.90054,43.25491],[-4.90094,43.25478],[-4.90133,43.25463],[-4.90196,43.25434],[-4.90255,43.25402],[-4.9031,43.25366],[-4.9036,43.25327],[-4.90388,43.25302],[-4.90446,43.2524],[-4.90481,43.25192],[-4.90499,43.25162],[-4.90524,43.25112],[-4.9054,43.25071],[-4.90546,43.2505],[-4.90552,43.25028],[-4.9056,43.24986],[-4.90564,43.24943],[-4.90563,43.24889],[-4.90555,43.24835],[-4.90545,43.24793],[-4.90526,43.24741],[-4.90501,43.2469],[-4.90477,43.24651],[-4.90441,43.24604],[-4.904,43.24559],[-4.90354,43.24517],[-4.90303,43.24478],[-4.90248,43.24443],[-4.90213,43.24424],[-4.90151,43.24394],[-4.90086,43.24368],[-4.90005,43.24343],[-4.89891,43.2432],[-4.89819,43.24311],[-4.8976,43.24308],[-4.89686,43.24308],[-4.89613,43.24312],[-4.89526,43.24324],[-4.89483,43.24332],[-4.89441,43.24342],[-4.89373,43.24362],[-4.8932,43.24381],[-4.89282,43.24397],[-4.89233,43.24421],[-4.89186,43.24447],[-4.8911,43.24498],[-4.89062,43.24538],[-4.89035,43.24564],[-4.8901,43.24591],[-4.8898,43.24628],[-4.88954,43.24666],[-4.88936,43.24696],[-4.88921,43.24726],[-4.88904,43.24768],[-4.88891,43.2481],[-4.88882,43.24852],[-4.88879,43.24874],[-4.88877,43.24906],[-4.88877,43.24949],[-4.8888,43.24982],[-4.88885,43.25013],[-4.88899,43.25066],[-4.88919,43.25118],[-4.88934,43.25148],[-4.88951,43.25178],[-4.88977,43.25217],[-4.88999,43.25245],[-4.89023,43.25272],[-4.89067,43.25315],[-4.89116,43.25355],[-4.89148,43.25378],[-4.89193,43.25406],[-4.89264,43.25444],[-4.89341,43.25476],[-4.89395,43.25494],[-4.8945,43.25509],[-4.89506,43.25521],[-4.89564,43.25531],[-4.89651,43.25539]],[[-5.03328,43.19062],[-5.03313,43.19061],[-5.03225,43.19062],[-5.03167,43.19066],[-5.03094,43.19075],[-5.03023,43.19089],[-5.02954,43.19107],[-5.029,43.19125],[-5.02836,43.19151],[-5.02763,43.19188],[-5.0274,43.19201],[-5.02696,43.1923],[-5.02665,43.19252],[-5.02635,43.19276],[-5.02616,43.19292],[-5.0259,43.19318],[-5.02557,43.19355],[-5.02535,43.19382],[-5.02497,43.1944],[-5.02467,43.19501],[-5.02452,43.19543],[-5.02444,43.19575],[-5.02436,43.19617],[-5.02432,43.19661],[-5.02432,43.19693],[-5.02439,43.19757],[-5.02449,43.198],[-5.02466,43.19852],[-5.0249,43.19903],[-5.02507,43.19932],[-5.02533,43.19971],[-5.02579,43.20026],[-5.02614,43.20061],[-5.02653,43.20094],[-5.02704,43.20132],[-5.02749,43.2016],[-5.02808,43.20192],[-5.02871,43.20219],[-5.02951,43.20248],[-5.02992,43.20258],[-5.03006,43.20263],[-5.03048,43.20272],[-5.03134,43.20286],[-5.03193,43.20292],[-5.03295,43.20295],[-5.0334,43.20293],[-5.03398,43.20288],[-5.0347,43.20278],[-5.03541,43.20263],[-5.03569,43.20255],[-5.03583,43.20253],[-5.03689,43.20216],[-5.03763,43.20181],[-5.0381,43.20155],[-5.03843,43.20134],[-5.03896,43.20095],[-5.03925,43.20071],[-5.03952,43.20046],[-5.03977,43.2002],[-5.04001,43.19992],[-5.04029,43.19954],[-5.04053,43.19915],[-5.04074,43.19875],[-5.04091,43.19834],[-5.04098,43.19812],[-5.04111,43.19759],[-5.04114,43.19738],[-5.04118,43.19695],[-5.04118,43.19663],[-5.04113,43.19609],[-5.04107,43.19577],[-5.04095,43.19535],[-5.04084,43.19503],[-5.0406,43.19452],[-5.0403,43.19403],[-5.03987,43.19347],[-5.03936,43.19294],[-5.03888,43.19254],[-5.03824,43.1921],[-5.03778,43.19183],[-5.03717,43.19152],[-5.03679,43.19136],[-5.03585,43.19104],[-5.03544,43.19093],[-5.03488,43.19081],[-5.03445,43.19073],[-5.03372,43.19065],[-5.03328,43.19062]]]]}"
140,,1,1,,,,Federal or National ministry or agency in charge,,Designated,,,1,IV,National,National Game Reserve,National Game Reserve,,Isla de Tagomago,Isla de Tagomago,ESP,,295523,15764,2011-10-04 13:40:26.56487,2011-10-04 13:40:26.613431,"{""type"":""MultiPolygon"",""coordinates"":[[[[1.657687,39.059695],[1.657687,39.073644],[1.675653,39.073644],[1.675653,39.059695],[1.657687,39.059695]]]]}"
169,,1,1,,,,Federal or National ministry or agency in charge,1987,Designated,9.270000000000000,,0,V,National,Natural Landscape/s of National Interest,Natural Landscape/s of National Interest,ES-PM,Garoé,Garoé,ESP,,289363,19077,2011-10-04 13:40:26.56487,2011-10-04 13:40:26.613431,"{""type"":""MultiPolygon"",""coordinates"":[[[[-17.948397,27.770432],[-17.951042,27.796232],[-17.918268,27.796232],[-17.915628,27.770432],[-17.948397,27.770432]]]]}"
