CBSA Code,County/County Equivalent,ST,State Name,County_ST,CBSA Title,Metropolitan/Micropolitan Statistical Area,2012 pop estimate,,
11500,Calhoun County,AL,Alabama,Calhoun County AL,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,"117,296",,
11540,Calumet County,WI,Wisconsin,Calumet County WI,"Appleton, WI",Metropolitan Statistical Area,"49,634",,
11540,Outagamie County,WI,Wisconsin,Outagamie County WI,"Appleton, WI",Metropolitan Statistical Area,"178,816",,
11580,DeSoto County,FL,Florida,DeSoto County FL,"Arcadia, FL",Micropolitan Statistical Area,"34,712",,
11620,Carter County,OK,Oklahoma,Carter County OK,"Ardmore, OK",Micropolitan Statistical Area,"48,085",,
11660,Clark County,AR,Arkansas,Clark County AR,"Arkadelphia, AR",Micropolitan Statistical Area,"22,936",,
11680,Cowley County,KS,Kansas,Cowley County KS,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,"36,288",,
11700,Madison County,NC,North Carolina,Madison County NC,"Asheville, NC",Metropolitan Statistical Area,"20,742",,
11700,Haywood County,NC,North Carolina,Haywood County NC,"Asheville, NC",Metropolitan Statistical Area,"58,908",,
11700,Henderson County,NC,North Carolina,Henderson County NC,"Asheville, NC",Metropolitan Statistical Area,"108,266",,
11700,Buncombe County,NC,North Carolina,Buncombe County NC,"Asheville, NC",Metropolitan Statistical Area,"244,490",,
11740,Ashland County,OH,Ohio,Ashland County OH,"Ashland, OH",Micropolitan Statistical Area,"52,962",,
11780,Ashtabula County,OH,Ohio,Ashtabula County OH,"Ashtabula, OH",Micropolitan Statistical Area,"100,389",,
11820,Clatsop County,OR,Oregon,Clatsop County OR,"Astoria, OR",Micropolitan Statistical Area,"37,301",,
11860,Atchison County,KS,Kansas,Atchison County KS,"Atchison, KS",Micropolitan Statistical Area,"16,813",,
11900,Athens County,OH,Ohio,Athens County OH,"Athens, OH",Micropolitan Statistical Area,"64,304",,
11940,McMinn County,TN,Tennessee,McMinn County TN,"Athens, TN",Micropolitan Statistical Area,"52,416",,
11980,Henderson County,TX,Texas,Henderson County TX,"Athens, TX",Micropolitan Statistical Area,"79,094",,
12020,Oglethorpe County,GA,Georgia,Oglethorpe County GA,"Athens-Clarke County, GA",Metropolitan Statistical Area,"14,618",,
12020,Madison County,GA,Georgia,Madison County GA,"Athens-Clarke County, GA",Metropolitan Statistical Area,"27,922",,
12020,Oconee County,GA,Georgia,Oconee County GA,"Athens-Clarke County, GA",Metropolitan Statistical Area,"33,619",,
12020,Clarke County,GA,Georgia,Clarke County GA,"Athens-Clarke County, GA",Metropolitan Statistical Area,"120,266",,
12060,Heard County,GA,Georgia,Heard County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"11,633",,
12060,Jasper County,GA,Georgia,Jasper County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"13,630",,
12060,Pike County,GA,Georgia,Pike County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"17,810",,
12060,Morgan County,GA,Georgia,Morgan County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"17,881",,
12060,Lamar County,GA,Georgia,Lamar County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"18,057",,
12060,Meriwether County,GA,Georgia,Meriwether County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"21,273",,
12060,Dawson County,GA,Georgia,Dawson County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"22,422",,
12060,Butts County,GA,Georgia,Butts County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"23,524",,
12060,Haralson County,GA,Georgia,Haralson County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"28,400",,
12060,Pickens County,GA,Georgia,Pickens County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"29,268",,
12060,Spalding County,GA,Georgia,Spalding County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"63,865",,
12060,Barrow County,GA,Georgia,Barrow County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"70,169",,
12060,Walton County,GA,Georgia,Walton County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"84,575",,
12060,Rockdale County,GA,Georgia,Rockdale County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"85,820",,
12060,Bartow County,GA,Georgia,Bartow County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"100,661",,
12060,Newton County,GA,Georgia,Newton County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"101,505",,
12060,Fayette County,GA,Georgia,Fayette County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"107,524",,
12060,Carroll County,GA,Georgia,Carroll County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"111,580",,
12060,Coweta County,GA,Georgia,Coweta County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"130,929",,
12060,Douglas County,GA,Georgia,Douglas County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"133,971",,
12060,Paulding County,GA,Georgia,Paulding County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"144,800",,
12060,Forsyth County,GA,Georgia,Forsyth County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"187,928",,
12060,Henry County,GA,Georgia,Henry County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"209,053",,
12060,Cherokee County,GA,Georgia,Cherokee County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"221,315",,
12060,Clayton County,GA,Georgia,Clayton County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"265,888",,
12060,DeKalb County,GA,Georgia,DeKalb County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"707,089",,
12060,Cobb County,GA,Georgia,Cobb County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"707,442",,
12060,Gwinnett County,GA,Georgia,Gwinnett County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"842,046",,
12060,Fulton County,GA,Georgia,Fulton County GA,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"977,773",,
12100,Atlantic County,NJ,New Jersey,Atlantic County NJ,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,"275,422",,
12140,DeKalb County,IN,Indiana,DeKalb County IN,"Auburn, IN",Micropolitan Statistical Area,"42,321",,
12180,Cayuga County,NY,New York,Cayuga County NY,"Auburn, NY",Micropolitan Statistical Area,"79,552",,
12220,Lee County,AL,Alabama,Lee County AL,"Auburn-Opelika, AL",Metropolitan Statistical Area,"147,257",,
12260,Lincoln County,GA,Georgia,Lincoln County GA,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"7,737",,
