CBSA Code,County/County Equivalent,ST,State Name,County_ST,CBSA Title,Metropolitan/Micropolitan Statistical Area,2012 pop estimate,,
19340,Rock Island County,IL,Illinois,Rock Island County IL,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"147,457",,
19340,Scott County,IA,Iowa,Scott County IA,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"168,799",,
19380,Miami County,OH,Ohio,Miami County OH,"Dayton, OH",Metropolitan Statistical Area,"103,060",,
19380,Greene County,OH,Ohio,Greene County OH,"Dayton, OH",Metropolitan Statistical Area,"163,587",,
19380,Montgomery County,OH,Ohio,Montgomery County OH,"Dayton, OH",Metropolitan Statistical Area,"534,325",,
19420,Rhea County,TN,Tennessee,Rhea County TN,"Dayton, TN",Micropolitan Statistical Area,"32,247",,
19460,Lawrence County,AL,Alabama,Lawrence County AL,"Decatur, AL",Metropolitan Statistical Area,"33,838",,
19460,Morgan County,AL,Alabama,Morgan County AL,"Decatur, AL",Metropolitan Statistical Area,"120,395",,
19500,Macon County,IL,Illinois,Macon County IL,"Decatur, IL",Metropolitan Statistical Area,"110,122",,
19540,Adams County,IN,Indiana,Adams County IN,"Decatur, IN",Micropolitan Statistical Area,"34,365",,
19580,Defiance County,OH,Ohio,Defiance County OH,"Defiance, OH",Micropolitan Statistical Area,"38,677",,
19620,Val Verde County,TX,Texas,Val Verde County TX,"Del Rio, TX",Micropolitan Statistical Area,"48,705",,
19660,Flagler County,FL,Florida,Flagler County FL,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"98,359",,
19660,Volusia County,FL,Florida,Volusia County FL,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"496,950",,
19700,Luna County,NM,New Mexico,Luna County NM,"Deming, NM",Micropolitan Statistical Area,"25,041",,
19740,Gilpin County,CO,Colorado,Gilpin County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"5,491",,
19740,Clear Creek County,CO,Colorado,Clear Creek County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"9,026",,
19740,Park County,CO,Colorado,Park County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"16,029",,
19740,Elbert County,CO,Colorado,Elbert County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"23,383",,
19740,Broomfield County,CO,Colorado,Broomfield County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"58,298",,
19740,Douglas County,CO,Colorado,Douglas County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"298,215",,
19740,Adams County,CO,Colorado,Adams County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"459,598",,
19740,Jefferson County,CO,Colorado,Jefferson County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"545,358",,
19740,Arapahoe County,CO,Colorado,Arapahoe County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"595,546",,
19740,Denver County,CO,Colorado,Denver County CO,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"634,265",,
19760,Beauregard Parish,LA,Louisiana,Beauregard Parish LA,"DeRidder, LA",Micropolitan Statistical Area,"36,281",,
19780,Guthrie County,IA,Iowa,Guthrie County IA,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"10,777",,
19780,Madison County,IA,Iowa,Madison County IA,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"15,654",,
19780,Warren County,IA,Iowa,Warren County IA,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"46,891",,
19780,Dallas County,IA,Iowa,Dallas County IA,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"71,967",,
19780,Polk County,IA,Iowa,Polk County IA,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"443,710",,
19820,Lapeer County,MI,Michigan,Lapeer County MI,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,"88,173",,
19820,St. Clair County,MI,Michigan,St. Clair County MI,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,"160,644",,
19820,Livingston County,MI,Michigan,Livingston County MI,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,"182,838",,
19820,Macomb County,MI,Michigan,Macomb County MI,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,"847,383",,
19820,Oakland County,MI,Michigan,Oakland County MI,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,"1,220,657",,
19820,Wayne County,MI,Michigan,Wayne County MI,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,"1,792,365",,
19860,Stark County,ND,North Dakota,Stark County ND,"Dickinson, ND",Micropolitan Statistical Area,"26,771",,
19940,Lee County,IL,Illinois,Lee County IL,"Dixon, IL",Micropolitan Statistical Area,"35,037",,
19980,Ford County,KS,Kansas,Ford County KS,"Dodge City, KS",Micropolitan Statistical Area,"34,752",,
20020,Henry County,AL,Alabama,Henry County AL,"Dothan, AL",Metropolitan Statistical Area,"17,287",,
20020,Geneva County,AL,Alabama,Geneva County AL,"Dothan, AL",Metropolitan Statistical Area,"26,931",,
20020,Houston County,AL,Alabama,Houston County AL,"Dothan, AL",Metropolitan Statistical Area,"103,402",,
20060,Coffee County,GA,Georgia,Coffee County GA,"Douglas, GA",Micropolitan Statistical Area,"43,170",,
20100,Kent County,DE,Delaware,Kent County DE,"Dover, DE",Metropolitan Statistical Area,"167,626",,
20140,Johnson County,GA,Georgia,Johnson County GA,"Dublin, GA",Micropolitan Statistical Area,"9,897",,
20140,Laurens County,GA,Georgia,Laurens County GA,"Dublin, GA",Micropolitan Statistical Area,"48,041",,
20180,Clearfield County,PA,Pennsylvania,Clearfield County PA,"DuBois, PA",Micropolitan Statistical Area,"81,184",,
20220,Dubuque County,IA,Iowa,Dubuque County IA,"Dubuque, IA",Metropolitan Statistical Area,"95,097",,
20260,Carlton County,MN,Minnesota,Carlton County MN,"Duluth, MN-WI",Metropolitan Statistical Area,"35,348",,
20260,Douglas County,WI,Wisconsin,Douglas County WI,"Duluth, MN-WI",Metropolitan Statistical Area,"43,785",,
20260,St. Louis County,MN,Minnesota,St. Louis County MN,"Duluth, MN-WI",Metropolitan Statistical Area,"200,319",,
20300,Moore County,TX,Texas,Moore County TX,"Dumas, TX",Micropolitan Statistical Area,"22,313",,
20340,Stephens County,OK,Oklahoma,Stephens County OK,"Duncan, OK",Micropolitan Statistical Area,"44,779",,
20380,Harnett County,NC,North Carolina,Harnett County NC,"Dunn, NC",Micropolitan Statistical Area,"122,135",,
20420,La Plata County,CO,Colorado,La Plata County CO,"Durango, CO",Micropolitan Statistical Area,"52,401",,
20460,Bryan County,OK,Oklahoma,Bryan County OK,"Durant, OK",Micropolitan Statistical Area,"43,399",,
20500,Person County,NC,North Carolina,Person County NC,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"39,268",,
20500,Chatham County,NC,North Carolina,Chatham County NC,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"65,976",,
20500,Orange County,NC,North Carolina,Orange County NC,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"137,941",,
20500,Durham County,NC,North Carolina,Durham County NC,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"279,641",,
20540,Dyer County,TN,Tennessee,Dyer County TN,"Dyersburg, TN",Micropolitan Statistical Area,"38,255",,
20580,Maverick County,TX,Texas,Maverick County TX,"Eagle Pass, TX",Micropolitan Statistical Area,"55,365",,
20700,Monroe County,PA,Pennsylvania,Monroe County PA,"East Stroudsburg, PA",Metropolitan Statistical Area,"168,798",,
20660,Talbot County,MD,Maryland,Talbot County MD,"Easton, MD",Micropolitan Statistical Area,"38,098",,
20740,Chippewa County,WI,Wisconsin,Chippewa County WI,"Eau Claire, WI",Metropolitan Statistical Area,"62,922",,
20740,Eau Claire County,WI,Wisconsin,Eau Claire County WI,"Eau Claire, WI",Metropolitan Statistical Area,"100,677",,
20780,Eagle County,CO,Colorado,Eagle County CO,"Edwards, CO",Micropolitan Statistical Area,"51,874",,
20820,Effingham County,IL,Illinois,Effingham County IL,"Effingham, IL",Micropolitan Statistical Area,"34,353",,
20900,Wharton County,TX,Texas,Wharton County TX,"El Campo, TX",Micropolitan Statistical Area,"41,285",,
20940,Imperial County,CA,California,Imperial County CA,"El Centro, CA",Metropolitan Statistical Area,"176,948",,
20980,Union County,AR,Arkansas,Union County AR,"El Dorado, AR",Micropolitan Statistical Area,"40,867",,
21340,Hudspeth County,TX,Texas,Hudspeth County TX,"El Paso, TX",Metropolitan Statistical Area,"3,337",,
21340,El Paso County,TX,Texas,El Paso County TX,"El Paso, TX",Metropolitan Statistical Area,"827,398",,
21020,Camden County,NC,North Carolina,Camden County NC,"Elizabeth City, NC",Micropolitan Statistical Area,"10,090",,
21020,Perquimans County,NC,North Carolina,Perquimans County NC,"Elizabeth City, NC",Micropolitan Statistical Area,"13,563",,
21020,Pasquotank County,NC,North Carolina,Pasquotank County NC,"Elizabeth City, NC",Micropolitan Statistical Area,"40,591",,
21060,Larue County,KY,Kentucky,Larue County KY,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,"14,151",,
21060,Meade County,KY,Kentucky,Meade County KY,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,"29,237",,
21060,Hardin County,KY,Kentucky,Hardin County KY,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,"107,025",,
21120,Beckham County,OK,Oklahoma,Beckham County OK,"Elk City, OK",Micropolitan Statistical Area,"23,081",,
21140,Elkhart County,IN,Indiana,Elkhart County IN,"Elkhart-Goshen, IN",Metropolitan Statistical Area,"199,619",,
21180,Randolph County,WV,West Virginia,Randolph County WV,"Elkins, WV",Micropolitan Statistical Area,"29,384",,
21220,Eureka County,NV,Nevada,Eureka County NV,"Elko, NV",Micropolitan Statistical Area,"2,001",,
21220,Elko County,NV,Nevada,Elko County NV,"Elko, NV",Micropolitan Statistical Area,"51,216",,
21260,Kittitas County,WA,Washington,Kittitas County WA,"Ellensburg, WA",Micropolitan Statistical Area,"41,672",,
21300,Chemung County,NY,New York,Chemung County NY,"Elmira, NY",Metropolitan Statistical Area,"88,911",,
21380,Lyon County,KS,Kansas,Lyon County KS,"Emporia, KS",Micropolitan Statistical Area,"33,748",,
21420,Garfield County,OK,Oklahoma,Garfield County OK,"Enid, OK",Micropolitan Statistical Area,"61,189",,
21460,Coffee County,AL,Alabama,Coffee County AL,"Enterprise, AL",Micropolitan Statistical Area,"51,252",,
21500,Erie County,PA,Pennsylvania,Erie County PA,"Erie, PA",Metropolitan Statistical Area,"280,646",,
21540,Delta County,MI,Michigan,Delta County MI,"Escanaba, MI",Micropolitan Statistical Area,"36,884",,
21580,Rio Arriba County,NM,New Mexico,Rio Arriba County NM,"Española, NM",Micropolitan Statistical Area,"40,318",,
21660,Lane County,OR,Oregon,Lane County OR,"Eugene, OR",Metropolitan Statistical Area,"354,542",,
21700,Humboldt County,CA,California,Humboldt County CA,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,"134,827",,
21740,Uinta County,WY,Wyoming,Uinta County WY,"Evanston, WY",Micropolitan Statistical Area,"21,025",,
21780,Posey County,IN,Indiana,Posey County IN,"Evansville, IN-KY",Metropolitan Statistical Area,"25,599",,
21780,Henderson County,KY,Kentucky,Henderson County KY,"Evansville, IN-KY",Metropolitan Statistical Area,"46,513",,
21780,Warrick County,IN,Indiana,Warrick County IN,"Evansville, IN-KY",Metropolitan Statistical Area,"60,463",,
21780,Vanderburgh County,IN,Indiana,Vanderburgh County IN,"Evansville, IN-KY",Metropolitan Statistical Area,"180,858",,
21820,Fairbanks North Star Borough,AK,Alaska,Fairbanks North Star Borough AK,"Fairbanks, AK",Metropolitan Statistical Area,"100,272",,
21840,Jefferson County,IA,Iowa,Jefferson County IA,"Fairfield, IA",Micropolitan Statistical Area,"16,867",,
21900,Marion County,WV,West Virginia,Marion County WV,"Fairmont, WV",Micropolitan Statistical Area,"56,678",,
21980,Churchill County,NV,Nevada,Churchill County NV,"Fallon, NV",Micropolitan Statistical Area,"24,375",,
22020,Clay County,MN,Minnesota,Clay County MN,"Fargo, ND-MN",Metropolitan Statistical Area,"60,155",,
22020,Cass County,ND,North Dakota,Cass County ND,"Fargo, ND-MN",Metropolitan Statistical Area,"156,157",,
22060,Rice County,MN,Minnesota,Rice County MN,"Faribault-Northfield, MN",Micropolitan Statistical Area,"64,854",,
22100,St. Francois County,MO,Missouri,St. Francois County MO,"Farmington, MO",Micropolitan Statistical Area,"65,917",,
22140,San Juan County,NM,New Mexico,San Juan County NM,"Farmington, NM",Metropolitan Statistical Area,"128,529",,
22180,Hoke County,NC,North Carolina,Hoke County NC,"Fayetteville, NC",Metropolitan Statistical Area,"50,536",,
22180,Cumberland County,NC,North Carolina,Cumberland County NC,"Fayetteville, NC",Metropolitan Statistical Area,"324,049",,
22220,Madison County,AR,Arkansas,Madison County AR,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,"15,645",,
22220,McDonald County,MO,Missouri,McDonald County MO,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,"22,876",,
22220,Washington County,AR,Arkansas,Washington County AR,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,"211,411",,
22220,Benton County,AR,Arkansas,Benton County AR,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,"232,268",,
22260,Otter Tail County,MN,Minnesota,Otter Tail County MN,"Fergus Falls, MN",Micropolitan Statistical Area,"57,288",,
22280,Lyon County,NV,Nevada,Lyon County NV,"Fernley, NV",Micropolitan Statistical Area,"51,327",,
22300,Hancock County,OH,Ohio,Hancock County OH,"Findlay, OH",Micropolitan Statistical Area,"75,671",,
22340,Ben Hill County,GA,Georgia,Ben Hill County GA,"Fitzgerald, GA",Micropolitan Statistical Area,"17,538",,
22380,Coconino County,AZ,Arizona,Coconino County AZ,"Flagstaff, AZ",Metropolitan Statistical Area,"136,011",,
22420,Genesee County,MI,Michigan,Genesee County MI,"Flint, MI",Metropolitan Statistical Area,"418,408",,
22500,Darlington County,SC,South Carolina,Darlington County SC,"Florence, SC",Metropolitan Statistical Area,"68,139",,
22500,Florence County,SC,South Carolina,Florence County SC,"Florence, SC",Metropolitan Statistical Area,"137,948",,
22520,Colbert County,AL,Alabama,Colbert County AL,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,"54,446",,
22520,Lauderdale County,AL,Alabama,Lauderdale County AL,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,"92,542",,
22540,Fond du Lac County,WI,Wisconsin,Fond du Lac County WI,"Fond du Lac, WI",Metropolitan Statistical Area,"101,843",,
22580,Rutherford County,NC,North Carolina,Rutherford County NC,"Forest City, NC",Micropolitan Statistical Area,"67,323",,
22620,St. Francis County,AR,Arkansas,St. Francis County AR,"Forrest City, AR",Micropolitan Statistical Area,"27,858",,
22660,Larimer County,CO,Colorado,Larimer County CO,"Fort Collins, CO",Metropolitan Statistical Area,"310,487",,
22700,Webster County,IA,Iowa,Webster County IA,"Fort Dodge, IA",Micropolitan Statistical Area,"37,273",,
22780,Pulaski County,MO,Missouri,Pulaski County MO,"Fort Leonard Wood, MO",Micropolitan Statistical Area,"53,259",,
22800,Clark County,MO,Missouri,Clark County MO,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,"6,969",,
22800,Hancock County,IL,Illinois,Hancock County IL,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,"18,891",,
22800,Lee County,IA,Iowa,Lee County IA,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,"35,617",,
22820,Morgan County,CO,Colorado,Morgan County CO,"Fort Morgan, CO",Micropolitan Statistical Area,"28,472",,
22860,Vernon Parish,LA,Louisiana,Vernon Parish LA,"Fort Polk South, LA",Micropolitan Statistical Area,"53,869",,
22900,Sequoyah County,OK,Oklahoma,Sequoyah County OK,"Fort Smith, AR-OK",Metropolitan Statistical Area,"41,398",,
22900,Le Flore County,OK,Oklahoma,Le Flore County OK,"Fort Smith, AR-OK",Metropolitan Statistical Area,"49,873",,
22900,Crawford County,AR,Arkansas,Crawford County AR,"Fort Smith, AR-OK",Metropolitan Statistical Area,"61,946",,
22900,Sebastian County,AR,Arkansas,Sebastian County AR,"Fort Smith, AR-OK",Metropolitan Statistical Area,"127,304",,
23060,Wells County,IN,Indiana,Wells County IN,"Fort Wayne, IN",Metropolitan Statistical Area,"27,652",,
23060,Whitley County,IN,Indiana,Whitley County IN,"Fort Wayne, IN",Metropolitan Statistical Area,"33,342",,
23060,Allen County,IN,Indiana,Allen County IN,"Fort Wayne, IN",Metropolitan Statistical Area,"360,412",,
23140,Clinton County,IN,Indiana,Clinton County IN,"Frankfort, IN",Micropolitan Statistical Area,"33,022",,
23180,Anderson County,KY,Kentucky,Anderson County KY,"Frankfort, KY",Micropolitan Statistical Area,"21,728",,
23180,Franklin County,KY,Kentucky,Franklin County KY,"Frankfort, KY",Micropolitan Statistical Area,"49,804",,
23240,Gillespie County,TX,Texas,Gillespie County TX,"Fredericksburg, TX",Micropolitan Statistical Area,"25,153",,
23300,Stephenson County,IL,Illinois,Stephenson County IL,"Freeport, IL",Micropolitan Statistical Area,"46,959",,
23340,Dodge County,NE,Nebraska,Dodge County NE,"Fremont, NE",Micropolitan Statistical Area,"36,427",,
23380,Sandusky County,OH,Ohio,Sandusky County OH,"Fremont, OH",Micropolitan Statistical Area,"60,510",,
23420,Fresno County,CA,California,Fresno County CA,"Fresno, CA",Metropolitan Statistical Area,"947,895",,
23460,Etowah County,AL,Alabama,Etowah County AL,"Gadsden, AL",Metropolitan Statistical Area,"104,392",,
23500,Cherokee County,SC,South Carolina,Cherokee County SC,"Gaffney, SC",Micropolitan Statistical Area,"55,662",,
23540,Gilchrist County,FL,Florida,Gilchrist County FL,"Gainesville, FL",Metropolitan Statistical Area,"16,815",,
23540,Alachua County,FL,Florida,Alachua County FL,"Gainesville, FL",Metropolitan Statistical Area,"251,417",,
23580,Hall County,GA,Georgia,Hall County GA,"Gainesville, GA",Metropolitan Statistical Area,"185,416",,
23620,Cooke County,TX,Texas,Cooke County TX,"Gainesville, TX",Micropolitan Statistical Area,"38,688",,
23660,Knox County,IL,Illinois,Knox County IL,"Galesburg, IL",Micropolitan Statistical Area,"52,247",,
23700,McKinley County,NM,New Mexico,McKinley County NM,"Gallup, NM",Micropolitan Statistical Area,"73,016",,
23780,Kearny County,KS,Kansas,Kearny County KS,"Garden City, KS",Micropolitan Statistical Area,"3,968",,
23780,Finney County,KS,Kansas,Finney County KS,"Garden City, KS",Micropolitan Statistical Area,"37,200",,
23820,Douglas County,NV,Nevada,Douglas County NV,"Gardnerville Ranchos, NV",Micropolitan Statistical Area,"46,996",,
23860,Georgetown County,SC,South Carolina,Georgetown County SC,"Georgetown, SC",Micropolitan Statistical Area,"60,189",,
23900,Adams County,PA,Pennsylvania,Adams County PA,"Gettysburg, PA",Metropolitan Statistical Area,"101,482",,
23940,Campbell County,WY,Wyoming,Campbell County WY,"Gillette, WY",Micropolitan Statistical Area,"47,874",,
23980,Metcalfe County,KY,Kentucky,Metcalfe County KY,"Glasgow, KY",Micropolitan Statistical Area,"9,969",,
23980,Barren County,KY,Kentucky,Barren County KY,"Glasgow, KY",Micropolitan Statistical Area,"42,631",,
24020,Washington County,NY,New York,Washington County NY,"Glens Falls, NY",Metropolitan Statistical Area,"62,934",,
24020,Warren County,NY,New York,Warren County NY,"Glens Falls, NY",Metropolitan Statistical Area,"65,538",,
24060,Pitkin County,CO,Colorado,Pitkin County CO,"Glenwood Springs, CO",Micropolitan Statistical Area,"17,263",,
24060,Garfield County,CO,Colorado,Garfield County CO,"Glenwood Springs, CO",Micropolitan Statistical Area,"56,953",,
24100,Fulton County,NY,New York,Fulton County NY,"Gloversville, NY",Micropolitan Statistical Area,"54,925",,
24140,Wayne County,NC,North Carolina,Wayne County NC,"Goldsboro, NC",Metropolitan Statistical Area,"124,246",,
24220,Polk County,MN,Minnesota,Polk County MN,"Grand Forks, ND-MN",Metropolitan Statistical Area,"31,416",,
24220,Grand Forks County,ND,North Dakota,Grand Forks County ND,"Grand Forks, ND-MN",Metropolitan Statistical Area,"67,472",,
24260,Howard County,NE,Nebraska,Howard County NE,"Grand Island, NE",Metropolitan Statistical Area,"6,336",,
24260,Merrick County,NE,Nebraska,Merrick County NE,"Grand Island, NE",Metropolitan Statistical Area,"7,780",,
24260,Hamilton County,NE,Nebraska,Hamilton County NE,"Grand Island, NE",Metropolitan Statistical Area,"9,011",,
24260,Hall County,NE,Nebraska,Hall County NE,"Grand Island, NE",Metropolitan Statistical Area,"60,345",,
24300,Mesa County,CO,Colorado,Mesa County CO,"Grand Junction, CO",Metropolitan Statistical Area,"147,848",,
24340,Barry County,MI,Michigan,Barry County MI,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,"58,990",,
24340,Montcalm County,MI,Michigan,Montcalm County MI,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,"63,097",,
24340,Ottawa County,MI,Michigan,Ottawa County MI,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,"269,099",,
24340,Kent County,MI,Michigan,Kent County MI,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,"614,462",,
24420,Josephine County,OR,Oregon,Josephine County OR,"Grants Pass, OR",Metropolitan Statistical Area,"82,930",,
24380,Cibola County,NM,New Mexico,Cibola County NM,"Grants, NM",Micropolitan Statistical Area,"27,334",,
24460,Barton County,KS,Kansas,Barton County KS,"Great Bend, KS",Micropolitan Statistical Area,"27,557",,
24500,Cascade County,MT,Montana,Cascade County MT,"Great Falls, MT",Metropolitan Statistical Area,"81,723",,
24540,Weld County,CO,Colorado,Weld County CO,"Greeley, CO",Metropolitan Statistical Area,"263,691",,
24580,Kewaunee County,WI,Wisconsin,Kewaunee County WI,"Green Bay, WI",Metropolitan Statistical Area,"20,624",,
24580,Oconto County,WI,Wisconsin,Oconto County WI,"Green Bay, WI",Metropolitan Statistical Area,"37,442",,
24580,Brown County,WI,Wisconsin,Brown County WI,"Green Bay, WI",Metropolitan Statistical Area,"253,032",,
24620,Greene County,TN,Tennessee,Greene County TN,"Greeneville, TN",Micropolitan Statistical Area,"68,819",,
24640,Franklin County,MA,Massachusetts,Franklin County MA,"Greenfield Town, MA",Micropolitan Statistical Area,"71,540",,
24660,Rockingham County,NC,North Carolina,Rockingham County NC,"Greensboro-High Point, NC",Metropolitan Statistical Area,"92,720",,
24660,Randolph County,NC,North Carolina,Randolph County NC,"Greensboro-High Point, NC",Metropolitan Statistical Area,"142,466",,
24660,Guilford County,NC,North Carolina,Guilford County NC,"Greensboro-High Point, NC",Metropolitan Statistical Area,"500,879",,
24700,Decatur County,IN,Indiana,Decatur County IN,"Greensburg, IN",Micropolitan Statistical Area,"26,042",,
24740,Washington County,MS,Mississippi,Washington County MS,"Greenville, MS",Micropolitan Statistical Area,"49,750",,
24780,Pitt County,NC,North Carolina,Pitt County NC,"Greenville, NC",Metropolitan Statistical Area,"172,554",,
24820,Darke County,OH,Ohio,Darke County OH,"Greenville, OH",Micropolitan Statistical Area,"52,507",,
24860,Laurens County,SC,South Carolina,Laurens County SC,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,"66,223",,
24860,Pickens County,SC,South Carolina,Pickens County SC,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,"119,670",,
24860,Anderson County,SC,South Carolina,Anderson County SC,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,"189,355",,
24860,Greenville County,SC,South Carolina,Greenville County SC,"Greenville-Anderson-Mauldin, SC",Metropolitan Statistical Area,"467,605",,
24900,Carroll County,MS,Mississippi,Carroll County MS,"Greenwood, MS",Micropolitan Statistical Area,"10,423",,
24900,Leflore County,MS,Mississippi,Leflore County MS,"Greenwood, MS",Micropolitan Statistical Area,"30,948",,
24940,Abbeville County,SC,South Carolina,Abbeville County SC,"Greenwood, SC",Micropolitan Statistical Area,"25,101",,
24940,Greenwood County,SC,South Carolina,Greenwood County SC,"Greenwood, SC",Micropolitan Statistical Area,"69,756",,
24980,Grenada County,MS,Mississippi,Grenada County MS,"Grenada, MS",Micropolitan Statistical Area,"21,682",,
25060,Hancock County,MS,Mississippi,Hancock County MS,"Gulfport-Biloxi-Pascagoula, MS",Metropolitan Statistical Area,"45,255",,
25060,Jackson County,MS,Mississippi,Jackson County MS,"Gulfport-Biloxi-Pascagoula, MS",Metropolitan Statistical Area,"140,298",,
25060,Harrison County,MS,Mississippi,Harrison County MS,"Gulfport-Biloxi-Pascagoula, MS",Metropolitan Statistical Area,"194,029",,
25100,Texas County,OK,Oklahoma,Texas County OK,"Guymon, OK",Micropolitan Statistical Area,"21,498",,
25180,Berkeley County,WV,West Virginia,Berkeley County WV,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,"107,098",,
25180,Washington County,MD,Maryland,Washington County MD,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,"149,180",,
25200,Camas County,ID,Idaho,Camas County ID,"Hailey, ID",Micropolitan Statistical Area,"1,077",,
25200,Lincoln County,ID,Idaho,Lincoln County ID,"Hailey, ID",Micropolitan Statistical Area,"5,277",,
25200,Blaine County,ID,Idaho,Blaine County ID,"Hailey, ID",Micropolitan Statistical Area,"21,146",,
25220,Tangipahoa Parish,LA,Louisiana,Tangipahoa Parish LA,"Hammond, LA",Metropolitan Statistical Area,"123,441",,
25260,Kings County,CA,California,Kings County CA,"Hanford-Corcoran, CA",Metropolitan Statistical Area,"151,364",,
25300,Ralls County,MO,Missouri,Ralls County MO,"Hannibal, MO",Micropolitan Statistical Area,"10,277",,
25300,Marion County,MO,Missouri,Marion County MO,"Hannibal, MO",Micropolitan Statistical Area,"28,745",,
25420,Perry County,PA,Pennsylvania,Perry County PA,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,"45,701",,
25420,Cumberland County,PA,Pennsylvania,Cumberland County PA,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,"238,614",,
25420,Dauphin County,PA,Pennsylvania,Dauphin County PA,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,"269,665",,
25460,Newton County,AR,Arkansas,Newton County AR,"Harrison, AR",Micropolitan Statistical Area,"8,086",,
25460,Boone County,AR,Arkansas,Boone County AR,"Harrison, AR",Micropolitan Statistical Area,"37,327",,
25500,Harrisonburg city,VA,Virginia,Harrisonburg city VA,"Harrisonburg, VA",Metropolitan Statistical Area,"50,981",,
25500,Rockingham County,VA,Virginia,Rockingham County VA,"Harrisonburg, VA",Metropolitan Statistical Area,"77,391",,
25540,Tolland County,CN,Connecticut,Tolland County CN,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"151,539",,
25540,Middlesex County,CN,Connecticut,Middlesex County CN,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"165,602",,
25540,Hartford County,CN,Connecticut,Hartford County CN,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"897,259",,
25580,Adams County,NE,Nebraska,Adams County NE,"Hastings, NE",Micropolitan Statistical Area,"31,459",,
25620,Perry County,MS,Mississippi,Perry County MS,"Hattiesburg, MS",Metropolitan Statistical Area,"12,086",,
25620,Lamar County,MS,Mississippi,Lamar County MS,"Hattiesburg, MS",Metropolitan Statistical Area,"57,786",,
25620,Forrest County,MS,Mississippi,Forrest County MS,"Hattiesburg, MS",Metropolitan Statistical Area,"76,894",,
25700,Ellis County,KS,Kansas,Ellis County KS,"Hays, KS",Micropolitan Statistical Area,"29,053",,
