region,subregion,Country,2002,2003,2004,2005,2006
AMERICAS,South America,Bolivia,5103.03,12881.0,8700.0,11461.225,14088.0
AMERICAS,South America,Brazil,9560.7,9766.702,8194.545,16151.52,14323.68
AMERICAS,South America,Chile,2262.311,2410.508,5263.359,5384.705,6783.026
AMERICAS,South America,Colombia,120579.0,145601.0,187808.37,217633.99,181310.215
AMERICAS,South America,Ecuador,11212.3,6847.59,4778.807,43361.129,34249.095
AMERICAS,South America,French Guiana,No Report,74.0,No Report,No Report,No Report
AMERICAS,South America,Guyana,No Report,278.783,156.972,49.342,No Report
AMERICAS,South America,Paraguay,230.152,278.991,468.283,490.984,493.0
AMERICAS,South America,Peru,14568.175,7940.54,13650.083,22397.9,19452.717
AMERICAS,South America,Suriname,340.0,814.0,750.4,1507.0,577.0
AMERICAS,South America,Uruguay,43.013,49.919,66.265,103.267,569.202
AMERICAS,South America,Venezuela (Bolivarian Republic of),18213.68,32339.56,31277.05,58851.955,39057.94
ASIA,Central Asia and Transcaucasian countries,Armenia,No Report,No Report,0.944,No Report,0.0
ASIA,Central Asia and Transcaucasian countries,Kazakhstan,0.119,No Report,No Report,No Report,No Report
ASIA,East and South-East Asia,Cambodia,No Report,No Report,No Report,1.0,5.133
ASIA,East and South-East Asia,China,No Report,45.0,No Report,255.8,358.2
ASIA,East and South-East Asia,Hong Kong Special Administrative Region of China,8.3,6.63,55.53,17.005,14.88
ASIA,East and South-East Asia,Indonesia,2.314,58.116,6.319,1.013,1.124
ASIA,East and South-East Asia,Japan,16.9,2.5,85.5,2.993,9.9
ASIA,East and South-East Asia,Macao Special Aadministrative Region of China,0.027,0.0010,0.231,0.0050,0.018
ASIA,East and South-East Asia,Malaysia,No Report,2.5,0.049,5.1,2.218
ASIA,East and South-East Asia,Myanmar,No Report,No Report,No Report,No Report,1.0
ASIA,East and South-East Asia,Philippines,8.026,No Report,No Report,0.0020,0.0020
ASIA,East and South-East Asia,Republic of Korea,1.17,0.905,0.0080,No Report,4.772
ASIA,East and South-East Asia,Singapore,No Report,No Report,No Report,0.01,No Report
ASIA,East and South-East Asia,"""Taiwan"," Prov. of China""",Govt,Govt,Govt,Govt
ASIA,East and South-East Asia,"""Taiwan"," Prov. of China""",,,,
ASIA,East and South-East Asia,"""Taiwan"," Prov. of China""",,,,
ASIA,East and South-East Asia,Thailand,14.73,11.0,7.0,6.29,36.036
ASIA,Near and Middle East /South-West Asia,Afghanistan,No Report,No Report,1.9,No Report,No Report
ASIA,Near and Middle East /South-West Asia,Bahrain,0.0020,No Report,No Report,0.0040,No Report
ASIA,Near and Middle East /South-West Asia,"""Iran"," Islamic Republic of""",,,,
ASIA,Near and Middle East /South-West Asia,"""Iran"," Islamic Republic of""",,,,
ASIA,Near and Middle East /South-West Asia,"""Iran"," Islamic Republic of""",,,,
ASIA,Near and Middle East /South-West Asia,Israel,96.012,80.009,31.014,163.5,No Report
ASIA,Near and Middle East /South-West Asia,Jordan,0.188,9.0,32.0,0.485,5.26
ASIA,Near and Middle East /South-West Asia,Kuwait,0.0020,4.7,No Report,No Report,No Report
ASIA,Near and Middle East /South-West Asia,Lebanon,7.839,40.728,11.893,25.265,8.774
ASIA,Near and Middle East /South-West Asia,Pakistan,No Report,No Report,No Report,No Report,1.827
ASIA,Near and Middle East /South-West Asia,Saudi Arabia,1.528,0.9,No Report,0.3,No Report
ASIA,Near and Middle East /South-West Asia,Syrian Arab Republic,57.237,36.738,40.483,14.399,1.916
ASIA,Near and Middle East /South-West Asia,United Arab Emirates,0.013,0.408,0.195,No Report,No Report
ASIA,South Asia,India,2.0,3.0,6.0,4.0,206.0
ASIA,South Asia,Maldives,15.801,No Report,No Report,No Report,No Report
ASIA,South Asia,Maldives,15,,,,
EUROPE,East Europe,Belarus,0.0030,0.0030,0.107,2.008,No Report
EUROPE,East Europe,Republic of Moldova,No Report,No Report,0.046,0.98,No Report
EUROPE,East Europe,Russian Federation,58.155,53.35,92.65,109.0,16.595
EUROPE,East Europe,Ukraine,0.012,0.094,16.816,2.06,3.328
EUROPE,Southeast Europe,Albania,0.0060,1.286,2.3,2.848,3.857
EUROPE,Southeast Europe,Bosnia and Herzegovina,0.24,No Report,No Report,10.0,0.65
EUROPE,Southeast Europe,Bulgaria,36.282,8.884,0.896,141.745,80.177
EUROPE,Southeast Europe,Croatia,3.365,350.769,17.595,8.963,5.64
EUROPE,Southeast Europe,Montenegro,No Report,No Report,No Report,No Report,0.069
EUROPE,Southeast Europe,Romania,2.72,12.68,24.579,109.71,10.715
EUROPE,Southeast Europe,Serbia and Montenegro,1.926,6.021,15.469,5.349,12.876
EUROPE,Southeast Europe,The former Yugoslav Republic of Macedonia,0.342,No Report,0.176,11.975,No Report
EUROPE,Southeast Europe,Turkey,7.734,2.833,125.676,41.029,77.553
EUROPE,West & Central Europe,Andorra,0.275,No Report,No Report,0.108,0.109
EUROPE,West & Central Europe,Austria,36.896,58.306,75.519,244.849,61.778
EUROPE,West & Central Europe,Belgium,3589.0,645.6,3541.0,9259.0,3945.851
EUROPE,West & Central Europe,Cyprus,1.944,9.571,1.376,1.314,6.893
EUROPE,West & Central Europe,Czech Republic,6.042,2.624,3.283,10.163,4.708
EUROPE,West & Central Europe,Denmark,14.152,104.004,32.026,56.095,76.059
EUROPE,West & Central Europe,Estonia,2.286,30.486,5.219,0.05,0.525
EUROPE,West & Central Europe,Finland,0.442,1.1,1.1,1.2,6.5
EUROPE,West & Central Europe,France,3667.198,4185.011,4502.188,5196.607,10175.025
EUROPE,West & Central Europe,Germany,2150.094,1014.103,971.479,1084.5,1720.498
EUROPE,West & Central Europe,Gibraltar,No Report,No Report,No Report,No Report,0.104
EUROPE,West & Central Europe,Greece,18.035,200.645,1151.852,42.824,60.652
EUROPE,West & Central Europe,Hungary,58.928,23.467,94.37,7.802,7.286
EUROPE,West & Central Europe,Iceland,1.87,1.192,6.159,1.143,12.84
EUROPE,West & Central Europe,Ireland,30.467,106.909,167.336,306.147,254.884
EUROPE,West & Central Europe,Italy,4057.229,3521.329,3583.688,4372.061,4624.145
EUROPE,West & Central Europe,Italy,646,512,836,,
EUROPE,West & Central Europe,Latvia,No Report,0.616,0.64,0.684,1.123
EUROPE,West & Central Europe,Liechtenstein,0.014,0.014,0.012,0.023,No Report
EUROPE,West & Central Europe,Lithuania,0.732,0.183,13.449,0.698,3.124
EUROPE,West & Central Europe,Luxembourg,2.486,11.153,4.481,1.187,3.825
EUROPE,West & Central Europe,Malta,4.535,3.716,0.152,6.398,4.269
EUROPE,West & Central Europe,Monaco,0.01,0.0,No Report,0.0010,0.0010
EUROPE,West & Central Europe,Netherlands,7968.0,17560.0,12387.0,14603.0,10584.1
EUROPE,West & Central Europe,Norway,35.828,31.369,40.507,177.315,40.502
EUROPE,West & Central Europe,Poland,422.179,401.225,21.721,16.871,21.928
EUROPE,West & Central Europe,Portugal,3140.103,3021.257,7422.752,18083.241,34477.48
EUROPE,West & Central Europe,Slovakia,0.069,0.697,1.978,0.36,0.962
EUROPE,West & Central Europe,Slovenia,55.38,1.61,106.69,2.14,4.67
EUROPE,West & Central Europe,Spain,17618.187,49279.342,33135.629,48429.453,49652.959
EUROPE,West & Central Europe,Sweden,41.0,42.071,29.0,33.0,1358.0
EUROPE,West & Central Europe,Switzerland,185.942,188.617,361.451,282.614,354.378
EUROPE,West & Central Europe,United Kingdom of Great Britain and Northern Ireland,3635.0,7119.0,4779.0,3814.0,3814.0
OCEANIA,Oceania,Australia,105.874,288.164,202.009,87.514,251.594
OCEANIA,Oceania,Marshall Islands,No Report,No Report,25.0,No Report,No Report
OCEANIA,Oceania,New Zealand,0.267,7.061,17.873,7.555,32.954
