line,name,url,created_at,updated_at,the_geom,cartodb_id,the_geom_webmercator
J-Z,121st St & Jamaica Ave At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000007E0D576137552C06043796EA1594440,829,0101000020110F0000267CD861045A5FC12C267FC1C8F35241
J,111th St & Jamaica Blvd At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000AC911C99937552C0A004B94438594440,830,0101000020110F0000D201D007DE5A5FC1170E03F352F35241
J-Z,123rd St & Jamaica Ave At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000ACBFA477F17452C0B15E6FA7AD594440,831,0101000020110F0000923199A2CA595FC1D046BD72D6F35241
R,4th Ave & 95th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000C747E403028252C07646C033DA4E4440,832,0101000020110F0000F52AACAFFB6F5FC14AC7F5AAB7E75241
R,4th Ave & 93th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000005ED3D41EF68152C0A2F85D5A0D4F4440,833,0101000020110F000021C1547BE76F5FC1F4B8EDE5F0E75241
R,4th Ave & 86th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000000D428D4D38152C0A150471CB24F4440,834,0101000020110F00003D9FDF3BAD6F5FC1AE79323FA9E85241
R,4th Ave & 85th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000012BAF313CE8152C03EAC0CD5CD4F4440,835,0101000020110F0000225A2E77A36F5FC10EF13044C8E85241
R,4th Ave & 77th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000046BE69A4A58152C075B4E3BB94504440,836,0101000020110F0000E9E70CC85E6F5FC14D2C39D7A6E95241
D,18th Ave & 85th St At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000024E3CB181F8052C07CA0D0C0C84D4440,837,0101000020110F0000835B9C66C76C5FC1537EACBD85E65241
D,20th Ave & 86th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000A72CA881E67F52C0EC3640D8624D4440,838,0101000020110F0000F41ABF46676C5FC14BDC08BD13E65241
D,New Utrecht Ave & 77th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000086D50AB048052C045264026984E4440,839,0101000020110F00002422C2829A6C5FC1F69D32C46DE75241
D,20th Ave & 86th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000BB5EAB97DF7F52C07BE48BCF644D4440,840,0101000020110F0000D69D3E885B6C5FC191D80BF015E65241
D,Bay Pkwy & 86th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000003A232B499E7F52C011A9B1C70B4D4440,841,0101000020110F0000F03D309AEC6B5FC1A3447258B2E55241
D,Bay Pkwy & 86th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000020704C999B7F52C05741433C124D4440,842,0101000020110F0000ABACC509E86B5FC110560591B9E55241
D,Bay Pkwy & 86th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000DA6B27DD967F52C0386206910C4D4440,843,0101000020110F00006D95D2FEDF6B5FC127FEA739B3E55241
N,11th Ave & 62nd St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000EBE469D4438052C03983A530B6504440,844,0101000020110F000075D399CB056D5FC1BE9CD647CCE95241
D-N,New Utrecht Ave & 62nd St At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000120471AFCC7F52C0ECABFBBD14504440,845,0101000020110F0000955FA16A3B6C5FC14270089D17E95241
D-N,14th Ave & 61st St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000083E3CFE5CD7F52C0E2D8203D45504440,846,0101000020110F00006478D3793D6C5FC11EB0C2E14DE95241
D-N,14th Ave & 61st St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000D16B5910CA7F52C0B8A69DA04D504440,847,0101000020110F00004779B6F6366C5FC10285DC4457E95241
D,New Utrecht Ave & 55th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000FB68F927B87F52C08B55FF98D6504440,848,0101000020110F0000DBC1B08B186C5FC182E1398CF0E95241
D,New Utrecht Ave & 55th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000832FA2D0B27F52C08AA8C240D7504440,849,0101000020110F000018E91F790F6C5FC1B24AF847F1E95241
