"URL","login","Country","Followers count","xmin"
"http://twitter.com/vzlaturistica/statuses/23424668752936961","vzlaturistica "," Venezuela ",211,1
"http://twitter.com/CarlsTrendy/statuses/23461167175307264","CarlsTrendy "," Mexico Veracruz ",140,2
"http://twitter.com/imperialtravel1/statuses/23741658398990336","imperialtravel1 "," Medellin Colombia ",51,3
"http://twitter.com/wfsanhueza/statuses/24442490811588608","wfsanhueza "," Concepción ",466,4
"http://twitter.com/AndyPerez7/statuses/24262374739410944","AndyPerez7 "," Ccs, Venezuela ",226,5
"http://twitter.com/AndyPerez7/statuses/24266621946171392","AndyPerez7 "," Ccs, Venezuela ",226,6
"http://twitter.com/joseppique/statuses/24515380554760193","joseppique "," En navegación... ",245,7
