storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
1,Sun Jul 01 00:00:00 -0400 1962,Sat Mar 01 00:00:00 -0500 1997,1,05,007,2110 WEST WALNUT,Rogers,AR,72756,Supercenter,36.334145,-94.148036
2,Sat Aug 01 00:00:00 -0400 1964,Fri Mar 01 00:00:00 -0500 1996,1,05,009,1417 HWY 62/65 N,Harrison,AR,72601,Supercenter,36.203334,-92.966037
3,Tue Apr 12 00:00:00 -0400 1988,Wed Mar 01 00:00:00 -0500 2000,1,13,011,30983 HWY 441 SOUTH,Commerce,GA,30529,Supercenter,34.24863,-83.459929
4,Sun Aug 01 00:00:00 -0400 1965,Fri Mar 01 00:00:00 -0500 2002,1,05,007,2901 HWY 412 EAST,Siloam Springs,AR,72761,Supercenter,36.181117,-94.513179
5,Mon May 01 00:00:00 -0400 1972,Tue Mar 01 00:00:00 -0500 1994,1,05,045,1155 HWY 65 NORTH,Conway,AR,72032,Supercenter,35.110687,-92.439708
7,Sun Oct 01 00:00:00 -0400 1967,,,05,119,3801 CAMP ROBINSON RD.,North Little Rock,AR,72118,Wal-Mart,34.790476,-92.275897
8,Sun Oct 01 00:00:00 -0400 1967,Mon Mar 01 00:00:00 -0500 1993,1,05,029,1621 NORTH BUSINESS 9,Morrilton,AR,72110,Supercenter,35.131691,-92.72818
9,Fri Mar 01 00:00:00 -0500 1968,Wed Mar 01 00:00:00 -0500 2000,1,29,143,1303 SOUTH MAIN,Sikeston,MO,63801,Supercenter,36.86933,-89.579482
10,Mon Jul 01 00:00:00 -0400 1968,Sun Mar 01 00:00:00 -0500 1998,1,40,021,2020 SOUTH MUSKOGEE,Tahlequah,OK,74464,Supercenter,35.890855,-94.977187
11,Fri Mar 01 00:00:00 -0500 1968,Wed Feb 20 00:00:00 -0500 2002,1,05,005,65 WAL-MART DRIVE,Mountain Home,AR,72653,Supercenter,36.452566,-92.465717
12,Mon Jul 01 00:00:00 -0400 1968,Tue Mar 01 00:00:00 -0500 1994,1,40,131,1500 LYNN RIGGS BLVD,Claremore,OK,74017,Supercenter,36.32548,-95.60734
13,Fri Nov 01 00:00:00 -0500 1968,Fri Mar 01 00:00:00 -0500 1996,1,29,097,2705 GRAND AVE,Carthage,MO,64836,Supercenter,37.141918,-94.310477
14,Tue Apr 01 00:00:00 -0500 1969,Mon Mar 01 00:00:00 -0500 1999,1,29,105,1800 S JEFFERSON,Lebanon,MO,65536,Supercenter,37.658495,-92.649472
15,Thu May 01 00:00:00 -0400 1969,Wed Mar 01 00:00:00 -0500 1995,1,29,091,1310 PREACHER RD/HGWY 160,West Plains,MO,65775,Supercenter,36.727714,-91.860475
16,Tue Apr 01 00:00:00 -0500 1969,Wed Mar 01 00:00:00 -0500 2000,1,05,033,2214 FAYETTEVILLE RD,Van Buren,AR,72956,Supercenter,35.469947,-94.356251
17,Thu May 01 00:00:00 -0400 1969,Mon Mar 01 00:00:00 -0500 1993,1,29,145,3200 LUSK DRIVE,Neosho,MO,64850,Supercenter,36.841485,-94.394421
18,Sat Nov 01 00:00:00 -0500 1969,,,05,067,2500 MALCOLM ST/HWY 67 NORTH,Newport,AR,72112,Wal-Mart,35.71028,-91.21215
19,Tue Apr 03 00:00:00 -0400 1990,Tue Apr 03 00:00:00 -0400 1990,0,29,023,333 S WESTWOOD,Poplar Bluff,MO,63901,Supercenter,36.755411,-90.408144
20,Thu Oct 01 00:00:00 -0400 1970,Mon Mar 01 00:00:00 -0500 1999,1,29,083,1712 EAST OHIO,Clinton,MO,64735,Supercenter,38.366172,-93.749461
21,Sun Mar 01 00:00:00 -0500 1970,Wed Aug 22 00:00:00 -0400 2001,1,29,169,185 ST ROBERT BLVD,St. Robert,MO,65584,Supercenter,37.82642,-92.146829
22,Thu Oct 01 00:00:00 -0400 1970,Wed May 18 00:00:00 -0400 2005,1,40,097,4901 SO. MILL ROAD,Pryor,OK,74361,Supercenter,36.3062,-95.319049
23,Sun Nov 01 00:00:00 -0500 1970,Tue Mar 01 00:00:00 -0500 1994,1,22,061,1201 N SERVICE ROAD EAST,Ruston,LA,71270,Supercenter,32.516689,-92.0807
24,Thu Apr 01 00:00:00 -0500 1971,Mon Mar 01 00:00:00 -0500 1999,1,05,119,2000 JOHN HARDEN DR,Jacksonville,AR,72076,Supercenter,34.883828,-92.11035
25,Mon Feb 01 00:00:00 -0500 1971,Wed May 18 00:00:00 -0400 2005,1,29,007,4820 SO. CLARK ST,Mexico,MO,65265,Supercenter,39.170871,-91.884766
26,Sun Nov 01 00:00:00 -0500 1970,,,20,103,3450 S. 4TH TRAFFICWAY,Leavenworth,KS,66048,Wal-Mart,39.319931,-94.914155
27,Mon Feb 01 00:00:00 -0500 1971,Mon Mar 01 00:00:00 -0500 1999,1,29,065,1101 HWY 32 WEST,Salem,MO,65560,Supercenter,37.636087,-91.546032
28,Sat May 01 00:00:00 -0400 1971,Fri Mar 01 00:00:00 -0500 2002,1,40,115,2415 N.W. MAIN ST,Miami,OK,74354,Supercenter,36.976639,-94.85117
29,Sun Aug 01 00:00:00 -0400 1971,Wed Mar 01 00:00:00 -0500 1989,1,29,051,724 STADIUM WEST BLVD,Jefferson City,MO,65109,Supercenter,38.564489,-92.185145
30,Mon Nov 01 00:00:00 -0500 1971,Wed May 18 00:00:00 -0400 2005,1,29,207,2025 BUS. HWY 60 WEST,Dexter,MO,63841,Supercenter,36.79946,-89.953355
31,Tue Jun 01 00:00:00 -0400 1971,Wed Mar 01 00:00:00 -0500 1995,1,40,079,3108 N BROADWAY,Poteau,OK,74953,Supercenter,35.045605,-94.632948
32,Tue Jun 01 00:00:00 -0400 1971,,,29,213,2050 WEST HWY 76,Branson,MO,65616,Wal-Mart,36.640851,-93.259842
33,Tue Jun 01 00:00:00 -0400 1971,Wed Sep 17 00:00:00 -0400 2003,1,05,061,1710 SO. 4TH ST,Nashville,AR,71852,Supercenter,34.045389,-93.788686
34,Mon Nov 01 00:00:00 -0500 1971,Wed May 21 00:00:00 -0400 2003,1,29,217,2250 LINCOLN AVENUE,Nevada,MO,64772,Supercenter,37.391323,-94.099869
35,Fri Oct 01 00:00:00 -0400 1971,Wed Mar 17 00:00:00 -0500 2004,1,20,161,101 EAST BLUEMONT AVENUE,Manhattan,KS,66502,Supercenter,39.186668,-96.558692
36,Mon Nov 01 00:00:00 -0500 1971,Fri Mar 01 00:00:00 -0500 1996,1,05,055,2802 WEST KINGS HIGHWAY,Paragould,AR,72450,Supercenter,36.059925,-90.524918
37,Wed Sep 01 00:00:00 -0400 1971,Wed Mar 01 00:00:00 -0500 1989,1,29,187,701 WALTON DRIVE,Farmington,MO,63640,Supercenter,37.787944,-90.435012
38,Thu Dec 09 00:00:00 -0500 1971,Wed Mar 17 00:00:00 -0500 2004,1,40,089,1907 SE WASHINGTON ST.,Idabel,OK,74745,Supercenter,33.89552,-94.800283
39,Wed Mar 01 00:00:00 -0500 1972,,,20,011,2400 SOUTH MAIN,Fort Scott,KS,66701,Wal-Mart,37.810235,-94.705373
40,Mon Nov 01 00:00:00 -0500 1971,Wed Mar 01 00:00:00 -0500 1995,1,29,175,1301 HWY 24 EAST,Moberly,MO,65270,Supercenter,39.43233,-92.454
41,Mon May 01 00:00:00 -0400 1972,Tue Mar 01 00:00:00 -0500 1994,1,40,147,4000 GREEN COUNTRY RD,Bartlesville,OK,74006,Supercenter,36.739207,-95.932435
42,Thu Feb 01 00:00:00 -0500 1973,,,20,125,1705 WEST 11TH STREET,Coffeyville,KS,67337,Wal-Mart,37.033267,-95.643001
43,Mon May 01 00:00:00 -0400 1972,Wed Mar 01 00:00:00 -0500 2000,1,20,061,521 EAST CHESTNUT ST,Junction City,KS,66441,Supercenter,39.021883,-96.825073
44,Tue Feb 01 00:00:00 -0500 1972,,,29,131,1802 SOUTH BUSINESS HWY 54,Eldon,MO,65026,Wal-Mart,38.333763,-92.565568
45,Tue Aug 01 00:00:00 -0400 1972,Tue Mar 01 00:00:00 -0500 1994,1,05,031,1815 EAST HIGHLAND DRIVE,Jonesboro,AR,72401,Supercenter,35.821221,-90.685164
46,Tue Aug 01 00:00:00 -0400 1972,Mon Mar 01 00:00:00 -0500 1999,1,29,167,2451 S. SPRINGFIELD,Bolivar,MO,65613,Supercenter,37.594649,-93.396757
47,Sat Jul 01 00:00:00 -0400 1972,Wed Mar 14 00:00:00 -0500 2001,1,40,135,1101 WEST RUTH AVE,Sallisaw,OK,74955,Supercenter,35.44892,-94.812222
48,Wed Nov 01 00:00:00 -0500 1972,Mon Mar 01 00:00:00 -0500 1999,1,29,009,885 HIGHWAY 60,Monett,MO,65708,Supercenter,36.915901,-93.947829
49,Sun Oct 01 00:00:00 -0400 1972,Fri Mar 01 00:00:00 -0500 2002,1,40,023,1911 E.JACKSON ST.,Hugo,OK,74743,Supercenter,34.010795,-95.510044
50,Sat Sep 01 00:00:00 -0400 1973,Wed Jan 22 00:00:00 -0500 2003,1,40,035,268 SO. 7TH ST.,Vinita,OK,74301,Supercenter,36.63598,-95.143509
51,Tue May 01 00:00:00 -0400 1973,Sun Mar 01 00:00:00 -0500 1998,1,29,027,1701 NORTH BLUFF STREET,Fulton,MO,65251,Supercenter,38.86403,-91.943907
52,Sat Jul 01 00:00:00 -0400 1972,Wed Mar 01 00:00:00 -0500 2000,1,05,051,1601 ALBERT PIKE BLV,Hot Springs,AR,71913,Supercenter,34.493086,-93.089517
54,Thu Jun 01 00:00:00 -0400 1972,Sun Mar 01 00:00:00 -0500 1992,1,05,143,2004 SOUTH PLEASANT,Springdale,AR,72764,Supercenter,36.167274,-94.143611
55,Sun Oct 01 00:00:00 -0400 1972,,,05,083,1555 EAST MAIN,Booneville,AR,72927,Wal-Mart,35.141897,-93.902379
56,Wed Aug 01 00:00:00 -0400 1973,Wed Mar 17 00:00:00 -0500 2004,1,29,067,1309 NW 12TH AVE,Ava,MO,65608,Supercenter,36.962221,-92.676769
57,Sun Oct 01 00:00:00 -0400 1972,,,05,075,1600 WEST MAIN,Walnut Ridge,AR,72476,Wal-Mart,36.07489,-90.971722
58,Tue May 01 00:00:00 -0400 1973,Wed Oct 26 00:00:00 -0400 2005,1,05,115,2409 EAST MAIN STREET,Russellville,AR,72802,Supercenter,35.278174,-93.106773
59,Mon May 01 00:00:00 -0400 1972,Fri Mar 01 00:00:00 -0500 1996,1,29,097,1501 SOUTH RANGELINE ROAD,Joplin,MO,64804,Supercenter,37.07405,-94.477694
60,Sat Mar 01 00:00:00 -0400 1975,Fri Mar 01 00:00:00 -0500 1996,1,29,113,101 HWY 47 EAST,Troy,MO,63379,Supercenter,38.97841,-90.980646
61,Wed Nov 01 00:00:00 -0500 1972,Mon Mar 01 00:00:00 -0500 1993,1,29,101,301 E. COOPER AVENUE,Warrensburg,MO,64093,Supercenter,38.779135,-93.737229
62,Wed Nov 01 00:00:00 -0500 1972,Mon Mar 01 00:00:00 -0500 1999,1,05,093,3700 EAST HWY 18,Blytheville,AR,72315,Supercenter,35.928492,-89.856079
63,Sat Sep 01 00:00:00 -0400 1973,Tue Mar 01 00:00:00 -0500 1988,1,40,145,410 SOUTH DEWEY,Wagoner,OK,74467,Supercenter,35.957489,-95.395139
64,Thu Feb 01 00:00:00 -0500 1973,,,47,075,100 SOUTH DUPREE,Brownsville,TN,38012,Wal-Mart,35.592466,-89.240636
65,Tue Jul 03 00:00:00 -0400 1973,Tue Mar 01 00:00:00 -0500 1994,1,29,071,350 PARKRIDGE ROAD,Sullivan,MO,63080,Supercenter,38.221185,-91.15795
66,Wed Aug 01 00:00:00 -0400 1973,Wed Jul 17 00:00:00 -0400 2002,1,05,071,1230 MARKET STREET,Clarksville,AR,72830,Supercenter,35.44847,-93.456641
67,Sun Jul 01 00:00:00 -0400 1973,Wed Mar 01 00:00:00 -0500 1995,1,05,113,600 HWY 71 NORTH,Mena,AR,71953,Supercenter,34.58631,-94.225727
68,Wed Aug 01 00:00:00 -0400 1973,Wed Aug 20 00:00:00 -0400 2003,1,05,037,800 HWY 64 EAST,Wynne,AR,72396,Supercenter,35.244479,-90.751552
69,Sat Dec 01 00:00:00 -0500 1973,Mon Mar 01 00:00:00 -0500 1993,1,29,099,650 SOUTH TRUMAN BLVD,Festus,MO,63028,Supercenter,38.212753,-90.391083
70,Mon Jul 01 00:00:00 -0400 1974,Sat Mar 01 00:00:00 -0500 1997,1,05,035,798 WEST SERVICE ROAD,West Memphis,AR,72301,Supercenter,35.154948,-90.148524
71,Thu Nov 01 00:00:00 -0500 1973,Tue Mar 01 00:00:00 -0500 1994,1,05,121,1415 HWY 67 SOUTH,Pocahontas,AR,72455,Supercenter,36.248073,-90.95828
72,Tue Jan 01 00:00:00 -0500 1974,Tue Mar 01 00:00:00 -0500 1994,1,20,037,2710 N BROADWAY,Pittsburg,KS,66762,Supercenter,37.433371,-94.704909
73,Tue Oct 01 00:00:00 -0400 1974,Mon Mar 01 00:00:00 -0500 1999,1,40,037,1002 WEST TAFT,Sapulpa,OK,74066,Supercenter,35.98849,-96.160018
74,Thu Nov 01 00:00:00 -0500 1973,,,05,093,1051 WEST KEISER AVENUE,Osceola,AR,72370,Wal-Mart,35.697714,-89.984357
75,Tue Nov 13 00:00:00 -0500 1984,Sun Mar 01 00:00:00 -0500 1998,1,22,079,3636 MONROE HIGHWAY,Pineville,LA,71360,Supercenter,31.366854,-92.410009
76,Thu Nov 01 00:00:00 -0500 1973,Mon Mar 01 00:00:00 -0500 1993,1,05,015,1000 WEST TRIMBLE,Berryville,AR,72616,Supercenter,36.377735,-93.585117
77,Tue Oct 30 00:00:00 -0500 1979,Wed Jul 21 00:00:00 -0400 2004,1,48,491,3701 NORTH MAIN ST.,Taylor,TX,76574,Supercenter,30.599448,-97.41592
78,Sat Sep 01 00:00:00 -0400 1973,,,29,225,1331 SPUR DR/ BUS. RT US HWY66,Marshfield,MO,65706,Wal-Mart,37.336332,-92.921458
79,Mon Apr 01 00:00:00 -0400 1974,Mon Mar 01 00:00:00 -0500 1999,1,29,097,2623 WEST 7TH STREET,Joplin,MO,64801,Supercenter,37.084652,-94.546108
80,Fri Jun 01 00:00:00 -0400 1973,,,29,019,401 N STADIUM BL/BISCAYNE MALL,Columbia,MO,65201,Wal-Mart,38.937799,-92.33425
81,Fri Jun 01 00:00:00 -0400 1973,Wed Oct 26 00:00:00 -0400 2005,1,40,001,ROUTE 6 BOX 1895,Stilwell,OK,74960,Supercenter,35.817263,-94.63366
82,Mon Apr 01 00:00:00 -0400 1974,Sun Mar 01 00:00:00 -0500 1998,1,29,157,1750 S. PERRYVILLE,Perryville,MO,63775,Supercenter,37.722972,-89.885699
83,Thu Aug 01 00:00:00 -0400 1974,Wed Aug 20 00:00:00 -0400 2003,1,05,027,60 79-BYPASS NORTH,Magnolia,AR,71753,Supercenter,33.226519,-93.225167
84,Wed May 01 00:00:00 -0400 1974,,,05,095,PINECREST PLAZA SHOPPING CTR,Brinkley,AR,72021,Wal-Mart,35.127358,-92.413473
85,Mon Apr 01 00:00:00 -0400 1974,Fri Mar 01 00:00:00 -0500 1996,1,05,125,17309 I-30,Benton,AR,72015,Supercenter,34.581553,-92.577651
86,Sat Dec 01 00:00:00 -0500 1973,Tue Mar 01 00:00:00 -0500 1994,1,29,077,2825 N KANSAS EXPRESSWAY,Springfield,MO,65803,Supercenter,37.24721,-93.310875
87,Mon Jul 01 00:00:00 -0400 1974,Mon Mar 01 00:00:00 -0500 1999,1,22,119,1379 HOMER ROAD,Minden,LA,71055,Supercenter,32.627691,-93.248095
88,Fri Feb 01 00:00:00 -0400 1974,Tue Mar 01 00:00:00 -0500 1994,1,29,229,2100 NORTH MAIN,Mt. Grove,MO,65711,Supercenter,37.149916,-92.26275
89,Fri Feb 01 00:00:00 -0400 1974,Wed Apr 13 00:00:00 -0400 2005,1,29,029,94 CECIL STREET,Camdenton,MO,65020,Supercenter,37.935869,-92.845464
90,Mon Apr 01 00:00:00 -0400 1974,Wed Mar 01 00:00:00 -0500 1995,1,40,041,2115 S MAIN ST,Grove,OK,74344,Supercenter,36.57897,-94.769081
91,Sun Sep 01 00:00:00 -0400 1974,Tue Mar 01 00:00:00 -0500 1994,1,05,123,205 DEADRICK ROAD,Forrest City,AR,72335,Supercenter,35.029877,-90.790971
92,Mon Apr 01 00:00:00 -0400 1974,,,29,109,3020 SOUTH ELLIOTT,Aurora,MO,65605,Wal-Mart,36.947616,-93.718573
93,Tue Oct 01 00:00:00 -0400 1974,,,47,167,975 US HIGHWAY 51 NORTH,Covington,TN,38019,Wal-Mart,35.583664,-89.640142
94,Mon Jul 01 00:00:00 -0400 1974,Sat Mar 01 00:00:00 -0500 1997,1,47,157,8445 HWY 51 NORTH,Millington,TN,38053,Supercenter,35.390412,-89.855783
95,Tue Oct 01 00:00:00 -0400 1974,Wed May 21 00:00:00 -0400 2003,1,29,187,407 NO. STATE ST,Desloge,MO,63601,Supercenter,37.872662,-90.511653
96,Tue Oct 01 00:00:00 -0400 1974,Tue Mar 01 00:00:00 -0500 1994,1,29,037,1700 NORTH 291 HIGHWAY,Harrisonville,MO,64701,Supercenter,38.588583,-94.349423
97,Fri Nov 01 00:00:00 -0500 1974,Tue Mar 01 00:00:00 -0500 1994,1,47,097,628 HWY 51 BYPASS,Ripley,TN,38063,Supercenter,35.747529,-89.553434
98,Sat Feb 01 00:00:00 -0500 1975,,,22,067,2030 EAST MADISON,Bastrop,LA,71220,Wal-Mart,32.777717,-91.887364
99,Sun Feb 01 00:00:00 -0500 1976,Wed Mar 01 00:00:00 -0500 1995,1,29,071,1445 E CENTRAL,Union,MO,63084,Supercenter,38.433333,-90.972254
100,Tue Oct 01 00:00:00 -0400 1974,Sun Mar 01 00:00:00 -0500 1992,1,05,007,406 SOUTH WALTON BLVD,Bentonville,AR,72712,Supercenter,36.368584,-94.221623
101,Sun Feb 01 00:00:00 -0500 1976,Tue Mar 01 00:00:00 -0500 1994,1,29,161,500 SOUTH BISHOP,Rolla,MO,65401,Supercenter,37.939184,-91.777317
102,Sun Sep 01 00:00:00 -0400 1974,Wed Mar 01 00:00:00 -0500 1995,1,05,001,406 E 22ND STREET,Stuttgart,AR,72160,Supercenter,34.479278,-91.548729
103,Fri Aug 01 00:00:00 -0400 1975,Wed Aug 25 00:00:00 -0400 2004,1,40,125,196 SHAWNEE MALL DRIVE,Shawnee,OK,74804,Supercenter,35.384301,-96.920932
104,Mon Jul 01 00:00:00 -0400 1974,,,47,053,15427 SO. FIRST STREET,Milan,TN,38358,Wal-Mart,35.872336,-88.745002
105,Thu Aug 01 00:00:00 -0400 1974,Tue Mar 01 00:00:00 -0500 1994,1,28,003,2301 HARPER ROAD,Corinth,MS,38834,Supercenter,34.908824,-88.535216
106,Thu Aug 01 00:00:00 -0400 1974,Wed Oct 20 00:00:00 -0400 2004,1,21,075,1405 MIDDLE ROAD,Fulton,KY,42041,Supercenter,36.514801,-88.895748
107,Tue Oct 01 00:00:00 -0400 1974,,,47,183,850 WAL-MART DRIVE,Martin,TN,38237,Wal-Mart,36.324103,-88.782561
108,Sat Feb 01 00:00:00 -0500 1975,,,40,083,1618 SOUTH DIVISION,Guthrie,OK,73044,Wal-Mart,35.854994,-97.425418
109,Sat Feb 01 00:00:00 -0500 1975,Wed Mar 01 00:00:00 -0500 1995,1,29,063,2000 NORTH WALNUT,Cameron,MO,64429,Supercenter,39.75388,-94.234316
111,Sat Nov 01 00:00:00 -0500 1975,Wed Jun 25 00:00:00 -0400 2003,1,20,133,2700 SOUTH SANTA FE,Chanute,KS,66720,Supercenter,37.653335,-95.452631
112,Tue Apr 01 00:00:00 -0400 1975,Fri Mar 01 00:00:00 -0500 2002,1,28,105,1010 HWY 12 WEST,Starkville,MS,39759,Supercenter,33.441823,-88.851806
113,Tue Jul 01 00:00:00 -0400 1975,Fri Jan 27 00:00:00 -0500 2006,1,40,051,2001 SO. 1ST ST.,Chickasha,OK,73018,Supercenter,35.051213,-97.933058
114,Tue Apr 01 00:00:00 -0400 1975,,,28,117,200 WALMART CIRCLE,Booneville,MS,38829,Wal-Mart,34.676487,-88.562734
115,Wed Sep 01 00:00:00 -0400 1976,,,28,025,1445 HWY 45 NORTH,West Point,MS,39773,Wal-Mart,33.631959,-88.659436
116,Fri Aug 01 00:00:00 -0400 1975,,,22,017,929 SOUTH PINE STREET,Vivian,LA,71082,Wal-Mart,32.857636,-93.984754
117,Sun Jun 01 00:00:00 -0400 1975,,,40,089,501 SOUTH PARK DRIVE,Broken Bow,OK,74728,Wal-Mart,34.022301,-94.739572
118,Thu Apr 01 00:00:00 -0500 1976,Mon Mar 01 00:00:00 -0500 1993,1,28,095,1515 US HWY 278 EAST,Amory,MS,38821,Supercenter,33.967824,-88.459403
119,Mon Mar 01 00:00:00 -0500 1976,Tue Mar 01 00:00:00 -0500 1994,1,05,063,3150 HARRISON STREET,Batesville,AR,72501,Supercenter,35.764825,-91.613941
120,Mon Mar 01 00:00:00 -0500 1976,,,47,053,2716 NORTH CENTRAL AVENUE,Humboldt,TN,38343,Wal-Mart,35.841499,-88.91491
121,Mon Sep 01 00:00:00 -0400 1975,Tue Mar 01 00:00:00 -0500 1994,1,40,111,1800 SOUTH WOOD DRIVE,Okmulgee,OK,74447,Supercenter,35.608125,-95.96181
122,Sat Nov 01 00:00:00 -0500 1975,Mon Mar 01 00:00:00 -0500 1999,1,29,031,3051 EAST JACKSON BLVD.,Jackson,MO,63755,Supercenter,37.364007,-89.632978
123,Sun Jun 01 00:00:00 -0400 1975,Wed Oct 29 00:00:00 -0500 2003,1,40,133,1500 E. WRANGLER BLVD,Seminole,OK,74868,Supercenter,35.246473,-96.652692
124,Sat Mar 01 00:00:00 -0400 1975,Mon Mar 01 00:00:00 -0500 1999,1,05,119,8801 BASELINE ROAD,Little Rock,AR,72209,Supercenter,34.670081,-92.375747
125,Tue Apr 01 00:00:00 -0400 1975,Mon Mar 01 00:00:00 -0500 1999,1,05,131,2425 SOUTH ZERO ST,Fort Smith,AR,72901,Supercenter,35.327836,-94.410748
126,Mon Mar 01 00:00:00 -0500 1976,,,05,119,700 SOUTH BOWMAN BLV,Little Rock,AR,72211,Wal-Mart,34.747626,-92.407155
127,Sun Feb 01 00:00:00 -0500 1976,Wed Apr 13 00:00:00 -0400 2005,1,05,059,1910 MARTIN LUTHER KING BLVD,Malvern,AR,72104,Supercenter,34.385231,-92.828072
128,Tue Aug 01 00:00:00 -0400 1978,Sun Mar 01 00:00:00 -0500 1998,1,05,031,1911 WEST PARKER RD,Jonesboro,AR,72404,Supercenter,35.806744,-90.675056
129,Tue Jul 01 00:00:00 -0400 1975,Tue Mar 01 00:00:00 -0500 1994,1,40,019,1715 NORTH COMMERCE STREET,Ardmore,OK,73401,Supercenter,34.153414,-97.143036
130,Tue Jul 01 00:00:00 -0400 1975,Wed Aug 25 00:00:00 -0400 2004,1,40,101,1000 WEST SHAWNEE ST,Muskogee,OK,74403,Supercenter,35.770263,-95.322847
131,Sat Nov 01 00:00:00 -0500 1975,Thu Mar 01 00:00:00 -0500 1990,1,48,449,2311 SOUTH JEFFERSON,Mt. Pleasant,TX,75455,Supercenter,33.136035,-94.968192
132,Sun Feb 01 00:00:00 -0500 1976,,,40,073,1213 SOUTH MAIN STREET,Kingfisher,OK,73750,Wal-Mart,35.848903,-97.932608
133,Sat May 01 00:00:00 -0400 1976,,,05,081,1040 S CONSTITUTION,Ashdown,AR,71822,Wal-Mart,33.659928,-94.117647
134,Sun Aug 01 00:00:00 -0400 1976,,,40,009,3105 WEST 3RD,Elk City,OK,73644,Wal-Mart,35.411701,-99.443183
135,Thu Apr 01 00:00:00 -0500 1976,Wed Oct 27 00:00:00 -0400 2004,1,29,117,1000 GRAVES ST.,Chillicothe,MO,64601,Supercenter,39.777542,-93.554045
136,Thu Apr 01 00:00:00 -0500 1976,,,40,071,1219 WEST DOOLIN,Blackwell,OK,74631,Wal-Mart,36.81142,-97.29936
137,Fri Oct 01 00:00:00 -0400 1976,Tue Mar 01 00:00:00 -0500 1994,1,40,119,111 NORTH PERKINS ROAD,Stillwater,OK,74075,Supercenter,36.123412,-97.051458
138,Tue Nov 01 00:00:00 -0500 1977,,,29,077,1923 EAST KEARNEY,Springfield,MO,65803,Wal-Mart,37.239942,-93.258547
139,Thu Jul 01 00:00:00 -0400 1976,,,40,087,1620 NORTH GREEN AVENUE,Purcell,OK,73080,Wal-Mart,35.029998,-97.366159
140,Wed Sep 01 00:00:00 -0400 1976,Wed Jul 17 00:00:00 -0400 2002,1,48,005,2500 DANIEL MCCALL DRIVE,Lufkin,TX,75901,Supercenter,31.358708,-94.71564
141,Sat May 01 00:00:00 -0400 1976,Sat Mar 01 00:00:00 -0500 1997,1,05,131,8301 ROGERS AVENUE,Fort Smith,AR,72903,Supercenter,35.348672,-94.341961
142,Sat May 01 00:00:00 -0400 1976,,,48,387,2204 HWY 82 WEST,Clarksville,TX,75426,Wal-Mart,33.611759,-95.071379
143,Tue Jun 01 00:00:00 -0400 1976,Wed Mar 01 00:00:00 -0500 2000,1,21,157,310 WEST 5TH STREET,Benton,KY,42025,Supercenter,36.866705,-88.359032
144,Wed Sep 01 00:00:00 -0400 1976,Tue Mar 01 00:00:00 -0500 1994,1,05,143,2875 WEST 6TH STREET,Fayetteville,AR,72704,Supercenter,36.052306,-94.200566
145,Fri Oct 01 00:00:00 -0400 1976,,,29,163,3310 W GEORGIA STREET,Louisiana,MO,63353,Wal-Mart,39.433396,-91.07074
146,Mon Mar 01 00:00:00 -0500 1976,Sat Mar 01 00:00:00 -0500 1997,1,48,459,1923 NORTH WOOD,Gilmer,TX,75644,Supercenter,32.746034,-94.940109
147,Thu Jul 01 00:00:00 -0400 1976,Wed Mar 01 00:00:00 -0500 1995,1,48,181,401 NORTH US HWY 75,Denison,TX,75020,Supercenter,33.707891,-96.589689
148,Tue Jun 01 00:00:00 -0400 1976,Fri Mar 01 00:00:00 -0500 1996,1,48,277,3855 LAMAR AVENUE,Paris,TX,75460,Supercenter,33.661538,-95.509797
149,Tue Mar 01 00:00:00 -0500 1977,Wed Mar 01 00:00:00 -0500 2000,1,22,049,184 OLD WINFIELD RD,Jonesboro,LA,71251,Supercenter,32.227875,-92.708368
150,Fri Oct 01 00:00:00 -0400 1976,Sun Mar 01 00:00:00 -0500 1998,1,40,153,3215 WILLIAMS AVENUE,Woodward,OK,73801,Supercenter,36.414557,-99.381687
151,Tue Mar 01 00:00:00 -0500 1977,Tue Mar 01 00:00:00 -0500 1994,1,40,121,432 SOUTH GEORGE NIGH EXWY,McAlester,OK,74501,Supercenter,34.913535,-95.745164
152,Wed Dec 01 00:00:00 -0500 1976,Wed Oct 27 00:00:00 -0400 2004,1,29,099,12862 STATE ROAD 21,De Soto,MO,63020,Supercenter,38.154223,-90.574939
153,Fri Oct 01 00:00:00 -0400 1976,Tue Mar 01 00:00:00 -0500 1994,1,28,145,202 PARK PLAZA,New Albany,MS,38652,Supercenter,34.832285,-89.980849
155,Mon Aug 01 00:00:00 -0400 1977,Tue Mar 01 00:00:00 -0500 1994,1,28,137,5219 HWY 51 NORTH,Senatobia,MS,38668,Supercenter,34.624603,-89.968554
156,Sat Jan 01 00:00:00 -0500 1977,,,29,155,STATE HWY 84 WEST,Caruthersville,MO,63830,Wal-Mart,36.19748,-89.664318
157,Sat Jan 01 00:00:00 -0500 1977,Tue Mar 01 00:00:00 -0500 1994,1,05,145,3509 EAST RACE AVENUE,Searcy,AR,72143,Supercenter,35.250431,-91.694259
158,Sun May 01 00:00:00 -0400 1977,Sat Mar 01 00:00:00 -0500 1997,1,48,147,2021 NORTH HWY 121,Bonham,TX,75418,Supercenter,33.592867,-96.192354
