storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
478,Tue Mar 06 00:00:00 -0500 1984,,,48,163,819 N OAK STREET,Pearsall,TX,78061,Wal-Mart,28.898901,-99.093112
479,Tue Sep 21 00:00:00 -0400 1982,Wed Mar 01 00:00:00 -0500 1995,1,40,065,2500 NORTH MAIN,Altus,OK,73521,Supercenter,34.665383,-99.334036
480,Tue Nov 30 00:00:00 -0500 1982,,,17,149,US 36 & 151 SHETLAND DRIVE,Pittsfield,IL,62363,Wal-Mart,39.60442,-90.824102
481,Tue Nov 02 00:00:00 -0500 1982,Tue Mar 01 00:00:00 -0500 1994,1,17,029,101 DETTRO DRIVE,Mattoon,IL,61938,Supercenter,39.476713,-88.334949
482,Tue Jul 17 00:00:00 -0400 1984,,,48,039,301 N COLUMBIA DR,West Columbia,TX,77486,Wal-Mart,29.1498,-95.659639
483,Tue Oct 05 00:00:00 -0400 1982,Fri Mar 01 00:00:00 -0500 1996,1,01,001,1903 COBBS FORD RD,Prattville,AL,36066,Supercenter,32.460489,-86.418075
484,Tue Feb 01 00:00:00 -0500 1983,,,20,045,3300 IOWA STREET,Lawrence,KS,66046,Wal-Mart,38.924551,-95.260463
485,Tue Aug 02 00:00:00 -0400 1983,Wed Jun 15 00:00:00 -0400 2005,1,22,005,37000 HWY 3089,Donaldsonville,LA,70346,Supercenter,30.086295,-90.945194
486,Tue Oct 04 00:00:00 -0400 1983,Wed Oct 30 00:00:00 -0500 2002,1,20,209,12801 KANSAS AVENUE,Bonner Springs,KS,66012,Supercenter,39.087077,-94.879553
487,Tue Mar 01 00:00:00 -0500 1983,,,17,039,10 CLINTON PLAZA HWY 54 WEST,Clinton,IL,61727,Wal-Mart,40.148567,-88.975299
488,Tue Nov 16 00:00:00 -0500 1982,Wed Oct 16 00:00:00 -0400 2002,1,12,039,1940 PAT THOMAS PKWY,Quincy,FL,32351,Supercenter,30.557574,-84.592851
489,Tue Aug 02 00:00:00 -0400 1983,Tue Mar 01 00:00:00 -0500 1994,1,22,105,2799 WEST THOMAS STREET,Hammond,LA,70401,Supercenter,30.502339,-90.491604
490,Tue Mar 29 00:00:00 -0500 1983,,,48,355,10241 SOUTH PADRE ISLAND DRIVE,Corpus Christi,TX,78418,Wal-Mart,27.668997,-97.28379
491,Tue Mar 01 00:00:00 -0500 1983,Mon Mar 01 00:00:00 -0500 1993,1,21,145,5130 HINKLEVILLE ROAD,Paducah,KY,42001,Supercenter,37.076278,-88.687963
