cartodb_id,the_geom,name,iso2,population
2398037,0101000020E61000003D8C101E6DDC08C02D8672A25D4D4440,Villaflores,ES,0
2398065,0101000020E6100000FFA33671723F04C094607138F34B4440,Villaescusa de Palositos,ES,0
2398107,0101000020E6100000371092054C6005C04BE0D6DD3C954440,Villacorza,ES,0
2398111,0101000020E61000000DD1E80E62E70AC0F50B76C3B6A94440,Villacorta,ES,0
2398113,0101000020E6100000C9E02879758E02C016BCE82B48334440,Villaconejos de Trabaque,ES,486
2398114,0101000020E610000021A12DE752DC0BC01A12F758FA0C4440,Villaconejos,ES,3010
2398149,0101000020E610000008F4893C49BA09C0F1B5679604A44440,Villacadima,ES,0
2398473,0101000020E6100000CBCCCCCCCCCC0CC03233333333334440,Vicálvaro,ES,66439
2398482,0101000020E6100000381E3350197F04C0C876BE9F1A534440,Viana de Mondéjar,ES,0
2398484,0101000020E61000009B508880432806C0E49B6D6E4C834440,Viana de Jadraque,ES,42
2398524,0101000020E6100000FFDD02098ADF04C0CD6BEC12D50F4440,Verdelpino de Huete,ES,0
2398535,0101000020E61000002D2FC03E3AF50CC017ADA3AA09664440,Venturada,ES,1193
2398544,0101000020E610000054EC2FBB278F0DC0CFF23CB83B974440,Ventosilla,ES,0
2398568,0101000020E6100000CE31207BBDBB09C04763B48EAA4A4440,Ventas de Tierra,ES,0
2398612,0101000020E6100000146F641EF98306C093F6065F98104440,Vellisca,ES,163
2398621,0101000020E610000052573ECBF3E00BC057E71890BD2E4440,Velilla de San Antonio,ES,11553
2398622,0101000020E6100000438655BC91B902C0BDA4315A47954440,Velilla de Medinaceli,ES,0
2398668,0101000020E610000005D3307C448C08C0A314747B497F4440,Veguillas,ES,0
2398805,0101000020E610000047F4328AE5160BC0E349D23593AF4440,Valvieja,ES,0
2398812,0101000020E6100000C967791EDCDD09C0B7AF03E78C904440,Valverde de los Arroyos,ES,102
2398822,0101000020E610000072D2FBC6D75E0AC0B69C4B7155354440,Valverde de Alcalá,ES,346
2398832,0101000020E61000005F5969520A7A08C096C5C4E6E3A64440,Valvenedizo,ES,0
2398854,0101000020E6100000298716D9CE3703C0CD66D5E76A5B4440,Valtablado del Río,ES,20
2398855,0101000020E6100000A5F27684D38200C09A3DD00A0C4D4440,Valtablado de Beteta,ES,0
2398875,0101000020E610000079A52C431CEB04C02E2AA913D0084440,Valparaíso de Arriba,ES,0
2398876,0101000020E610000007FEB7921D1B05C03A53E8BCC6064440,Valparaíso de Abajo,ES,0
2399020,0101000020E6100000FF6453AEF0EE0CC0AFC91AF510314440,Vallecas,ES,0
2399097,0101000020E6100000328AE596560303C0CF798D5DA29E4440,Valladares,ES,0
2399121,0101000020E6100000FBC1C073EFA107C0F1C81F0C3C4F4440,Valfermoso de Tajuña,ES,93
2399122,0101000020E610000017E25817B71107C0390664AF776F4440,Valfermoso de las Monjas,ES,0
2399160,0101000020E610000024CCB4FD2B6B0AC01E41F163CC254440,Valdilecha,ES,2347
2399177,0101000020E6100000B788EFC4AC170CC08C45D3D9C9584440,Valdetorres de Jarama,ES,3139
2399189,0101000020E6100000EBB60BCD759A0AC06D5166834C7A4440,Valdesotos,ES,23
2399199,0101000020E6100000A15D85949F9407C0C99C2E8B895D4440,Valdesaz,ES,0
2399208,0101000020E61000000625CCB4FDAB04C0ED5A423EE8654440,Val de San García,ES,0
2399217,0101000020E61000004FBD35B0550209C03C44A33B88AD4440,Valderromán,ES,0
2399223,0101000020E6100000BE4868CBB9D405C023287E8CB9674440,Valderrebollo,ES,46
2399245,0101000020E6100000630113B8757709C0B69C4B7155954440,Valdepinillos,ES,0
2399248,0101000020E6100000DFD1C6116BB10BC0EF5014E813614440,Valdepiélagos,ES,414
2399254,0101000020E6100000FAAE08FEB7120BC03F4D2D5BEB734440,Valdepeñas de la Sierra,ES,187
2399261,0101000020E6100000CF27F224E99A0BC0C37762D68B514440,Valdeolmos,ES,2207
2399264,0101000020E6100000AA09A2EE039003C053E3A59BC4404440,Valdeolivas,ES,268
2399267,0101000020E6100000F70FE9B7AF030BC03D963E7441614440,Valdenuño-Fernández,ES,234
2399269,0101000020E6100000364F75C8CDB008C040B7973446574440,Valdenoches,ES,0
2399283,0101000020E61000005D11FC6F25FB04C046A7AE7C961F4440,Valdemoro del Rey,ES,0
2399286,0101000020E610000056E20165536E0DC0F6DF4A766C184440,Valdemoro,ES,62750
2399321,0101000020E6100000EF2900C6336805C0D36531B1F99C4440,Valdelcubo,ES,78
2399329,0101000020E61000000A022B8716590DC0DD54A4C2D84A4440,Valdelamasa,ES,0
2399337,0101000020E610000060FD9FC37CF905C0EC2AA4FCA4564440,Valdelagua,ES,0
2399360,0101000020E61000007DDE54A4C21808C0D6A3703D0A5B4440,Valdegrudas,ES,63
2399389,0101000020E6100000328AE596560307C0E474594C6C3A4440,Valdeconcha,ES,49
2399390,0101000020E61000007F9F71E1408803C08B976E12830C4440,Valdecolmenas de Arriba,ES,0
2399391,0101000020E61000005C6DC5FEB2FB03C0B983D899420F4440,Valdecolmenas de Abajo,ES,0
2399413,0101000020E6100000E53FA4DFBECE02C04B546F0D6C0D4440,Valdecabrillas,ES,0
2399415,0101000020E610000030CEDF84424400C03133333333134440,Valdecabras,ES,0
2399423,0101000020E6100000FBE3BD6A65820AC020E527D53E514440,Valdeaveruelo,ES,570
2399424,0101000020E6100000DBD26A48DCA30AC0A88251499D504440,Valdeavero,ES,790
2399427,0101000020E6100000A52215C616C207C0D81B7C6132554440,Valdeavellano,ES,104
2399432,0101000020E610000053F65D11FCEF07C0CDDA6D179A674440,Valdearenas,ES,89
2399438,0101000020E610000020895E46B19C08C06CAD2F12DA6E4440,Valdeancheta,ES,0
2399441,0101000020E6100000C43D963E744105C0B2C876BE9F924440,Valdealmendras,ES,0
2399458,0101000020E6100000C051F2EA1C0309C07B61325530424440,Valdarachas,ES,28
2399459,0101000020E6100000F1AB3940308709C088B0E1E9951A4440,Valdaracete,ES,630
2399488,0101000020E6100000BED4CF9B8A140AC020E527D53E514440,Valbueno,ES,0
2399530,0101000020E6100000D6D30E7F4D160CC02E6EA301BC294440,Vaciamadrid,ES,68405
2399552,0101000020E6100000FD261422E09002C0FDD478E926A54440,Utrilla,ES,0
2399558,0101000020E61000005CFE43FAED6B07C07745F0BF956C4440,Utande,ES,52
2399570,0101000020E610000014359886E1230AC0B2075A81215B4440,Usanos,ES,0
2399641,0101000020E6100000D4264EEE77A802C0775DBF6037904440,Ures de Medinaceli,ES,0
2399643,0101000020E61000002F6475ABE76405C0BBFBE3BD6A8D4440,Ures,ES,0
2399707,0101000020E610000066CBB914575509C0AFC91AF510914440,Umbralejo,ES,0
2399736,0101000020E61000000AEF7211DF0908C04807EBFF1C9E4440,Ujados,ES,32
2399766,0101000020E61000008EA0F831E6AE0BC0247A19C5726B4440,Uceda,ES,1763
2399791,0101000020E6100000230B98C0ADBB0CC0A70018CFA0A94440,Turrubuelo,ES,0
2399796,0101000020E6100000E1E47E87A28000C0CBD1E3F736814440,Turmiel,ES,0
2400090,0101000020E61000001F020EA14ACD0AC055F146E691774440,Tortuero,ES,38
2400095,0101000020E6100000D2D9C9E0283904C0FECA4A93527C4440,Tortonda,ES,0
2400100,0101000020E61000002267614F3BFC08C09F1A2FDD245A4440,Tórtola de Henares,ES,487
2400123,0101000020E61000001166DAFE959507C0398DB454DEAA4440,Torrevicente,ES,0
2400128,0101000020E61000000D9C33A2B47709C07AD5CA845FAE4440,Torresuso,ES,0
2400138,0101000020E61000002115C61682DC0AC0DC0720B589334440,Torres de la Alameda,ES,5811
2400169,0101000020E6100000B1683A3B195C00C0EC3D5C72DC714440,Torremocha del Pinar,ES,56
2400170,0101000020E6100000878043A852F304C019A37554357D4440,Torremocha del Campo,ES,251
2400172,0101000020E6100000D1D9C9E028F90BC0781EDC9DB56B4440,Torremocha de Jarama,ES,538
2400173,0101000020E6100000FCBCA948853107C03A6BB75D68824440,Torremocha de Jadraque,ES,22
2400179,0101000020E61000009BF9D51C201804C0FAFB8C0B07B24440,Torremediana,ES,0
2400195,0101000020E6100000EA17EC866D4B0CC0436E861BF0694440,Torrelaguna,ES,4012
2400198,0101000020E610000022B4E55C8AAB0AC07493180456524440,Torrejón del Rey,ES,2877
2400200,0101000020E6100000C2995FCD01C20BC0E61DA7E8483A4440,Torrejón de Ardoz,ES,118162
2400204,0101000020E61000009F1A2FDD240601C0C29E76F86B9E4440,Torrehermosa,ES,98
2400217,0101000020E610000032333333333305C03133333333934440,Torre de Valdealmendras,ES,0
2400228,0101000020E61000001E2922C32A9E08C0F423456458654440,Torre del Burgo,ES,122
2400240,0101000020E6100000FC87F4DBD74104C059475513446D4440,Torrecuadradilla,ES,51
2400242,0101000020E6100000B6973446EBA804C089027D224F724440,Torrecuadrada de los Valles,ES,0
2400252,0101000020E610000078CC4065FCBB00C016D4B7CCE96A4440,Torrecilla del Pinar,ES,0
2400255,0101000020E6100000CCCCCCCCCCCC04C09899999999994440,Torrecilla del Ducado,ES,0
2400261,0101000020E61000008C45D3D9C9A001C0C420B07268254440,Torrecilla,ES,0
2400268,0101000020E61000007B5C1B2AC63909C07229AE2AFB724440,Torrebeleña,ES,0
2400287,0101000020E61000005639B4C876FE03C067CBB91457914440,Torralba del Moral,ES,0
2400292,0101000020E61000007E87A2409F4802C08807944DB9264440,Torralba,ES,181
2400348,0101000020E61000007BD0B359F53908C0FA7953910A5F4440,Torija,ES,619
2400355,0101000020E61000004FAA7D3A1E7300C077B471C45A684440,Torete,ES,0
2400372,0101000020E6100000E1DF675C381006C054D97745F09B4440,Tordelrábano,ES,12
2400374,0101000020E6100000212D95B7235C07C0E574594C6C9A4440,Tordelloso,ES,0
