district,place,ind,dem,proch,,
SOUTHERN DISTRICT,Hong Kong Southern District Government Primary School,244,2629,1982,,
SOUTHERN DISTRICT,South Horizons Neighbourhood Community Centre,207,2826,2200,,
SOUTHERN DISTRICT,Wah Kwai Community Hall,350,2641,2258,,
SOUTHERN DISTRICT,Caritas Chong Yuet Ming Secondary School,261,1472,1537,,
SOUTHERN DISTRICT,Centennial College,214,1952,1542,,
SOUTHERN DISTRICT,Caritas Wu Cheng-chung Secondary School,49,436,288,,
SOUTHERN DISTRICT,Playground of Upper Baguio Villa,53,681,533,,
SOUTHERN DISTRICT,Cyberport Post Office,47,512,527,,
SOUTHERN DISTRICT,Vocational Training Council Shine Skills Centre (Pokfulam),10,144,159,,
SOUTHERN DISTRICT,Chi Fu Community Hall,311,2975,1925,,
SOUTHERN DISTRICT,Caritas Jockey Club Aberdeen Social Centre,87,535,453,,
SOUTHERN DISTRICT,SKH Tin Wan Chi Nam Primary School,213,1381,1429,,
SOUTHERN DISTRICT,Aberdeen St Peter's Catholic Primary School,362,2189,2826,,
SOUTHERN DISTRICT,Aberdeen Tennis and Squash Centre,95,745,560,,
SOUTHERN DISTRICT,SWCS Chan Pak Sha School,195,1816,1288,,
SOUTHERN DISTRICT,South Island School,26,274,428,,
SOUTHERN DISTRICT,Hong Kong International School,45,322,520,,
SOUTHERN DISTRICT,Stanley Community Hall,187,1425,1501,,
SOUTHERN DISTRICT,Medical Clinic of Shek O Health Centre,29,249,329,,
