Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon,facilities_Id
" X160 "," Caserta Playground "," St. Raymond Ave. & Odell St. ",""," N "," 40.8372 "," -73.854 ",0
" X111 "," Cedar Playground "," W 179 St. & Sedgwick Ave. ",""," N "," 40.8548 "," -73.9177 ",0
" X008 "," Claremont Park "," E 170 St. & Teller Ave. ",""," N "," 40.8378 "," -73.9082 ",0
" X200 "," Clark Playground "," E 144 St. & 3 Ave. ",""," N "," 40.8136 "," -73.9211 ",0
" X010 "," Crotona Playground #11 "," Fulton Ave. between E 172 St. and Claremont ",""," N "," 40.8384 "," -73.8993 ",0
" X010 "," Crotona Playground #2 "," Crotona N between Marmion and Prospect ",""," N "," 40.8402 "," -73.8913 ",0
" X010 "," Crotona Playground #5 "," Crotona Pk E at E 173 St. ",""," N "," 40.8377 "," -73.8908 ",0
" X010 "," Crotona Playground #6 "," Crotona E between Suburban and Charlotte ",""," N "," 40.8371 "," -73.8926 ",0
" X010 "," Crotona Playground #7 "," Crotona E between Claremont and Charlotte ",""," N "," 40.8363 "," -73.8949 ",0
" X010 "," Crotona Playground #9 "," Crotona S between Clinton and Prospect ",""," N "," 40.8391 "," -73.8931 ",0
" X164 "," Dawson Playground "," Intervale Ave. & Dawson St. ",""," N "," 40.8195 "," -73.8982 ",0
" X013 "," Devoe Park "," Sedgwick Ave. & Fordham Ave. ",""," N "," 40.8635 "," -73.9058 ",0
" X021 "," Drew Playground "," Fulton Ave. & E 169 St. ",""," N "," 40.8334 "," -73.9036 ",0
" X185 "," Dunbar Playground "," E 161 St., Trinity Ave., E 163 St. and Cauldwell Ave. ",""," N "," 40.8233 "," -73.9064 ",0
" X156 "," Eastchester Playground "," Adee & Tenbroeck Aves. ",""," N "," 40.8698 "," -73.8531 ",0
" X165 "," Edenwald Playground "," Schieffelin Ave. & E 229 St. ",""," N "," 40.8841 "," -73.8457 ",0
" X126 "," Ferry Point Park "," Corner of Balcom Avenue and Dewey Avenue ",""," Y "," 40.8157 "," -73.8298 ",0
" X122 "," Florence Colucci Playground "," Wilkinson & Mayflower Aves. ",""," N "," 40.852 "," -73.8343 ",0
" X146 "," Flynn Playground "," Brook Ave. & E 157 St. ",""," N "," 40.8212 "," -73.9121 ",0
" X150E "," Fordham Landing Playground "," Landing Rd., Just off Fordam Rd. ",""," N "," 40.8637 "," -73.9101 ",0
" X038 "," Fort #4 Playground "," Strong St. & Reservoir Ave. ",""," N "," 40.8745 "," -73.9007 ",0
" X020 "," Fort Independence Playground "," Sedgwick Ave. & Stevenson Pl. ",""," N "," 40.8819 "," -73.895 ",0
" X247 "," Fox Playground "," S/E Corner Fox St. & E 156 St. ",""," N "," 40.8147 "," -73.8987 ",0
" X047 "," Franz Sigel Park "," E 153 St. & Grand Concourse ",""," Y "," 40.821 "," -73.9264 ",0
" X114 "," Goble Playground "," Macombs Pl. & Globel Rd ",""," N "," 40.8437 "," -73.9171 ",0
" X222 "," Gouverneur Morris Playground "," 3 Ave., Saint Paul's Pl. and Washington Ave. ",""," N "," 40.8355 "," -73.9035 ",0
" X235 "," Grove Hill Playground "," Eagle Ave. & E 158 St. ",""," N "," 40.8197 "," -73.9091 ",0
" X161 "," Gun Hill Playground "," Holland Ave. & Magenta St. ",""," Y "," 40.8747 "," -73.8656 ",0
" X196 "," Haffen Park "," Ely & Burke Ave. ",""," N "," 40.8735 "," -73.8398 ",0
" X262 "," Harding Park "," Bolton Ave. between O'Brien and Cornell Aves. ",""," N "," 40.8102 "," -73.8567 ",0
" X148M1 "," Havemeyer "," N/S Cross Bronx Expwy., Havemeyer Ave. and Watson Ave. ",""," N "," 40.83 "," -73.8476 ",0
" X208 "," Haviland Playground "," Pugsley, Haviland, and Watson Aves. ",""," N "," 40.8289 "," -73.8589 ",0
" X080 "," Henry Hudson Park "," Independence & W 227 St. ",""," N "," 40.8813 "," -73.9202 ",0
