id_evento,nombre,fecha,artistas,horario,club_id,club_nombre,club_imagen,direccion,poblacion,provincia,pais,estilo,direccion completa
174362,Carl Cox: The Revolution Continues,2011-08-23,Carl Cox + ...,20:00-07:00h,333,Space Ibiza,Space_Ibiza.jpg,Carretera de Platge Den Bossa,Ibiza,Baleares,España,House,"Carretera de Platge Den Bossa, Ibiza, España"
176059,Come Together 2011,2011-08-26,</b> tbc,20:00-07:00h,333,Space Ibiza,Space_Ibiza.jpg,Carretera de Platge Den Bossa,Ibiza,Baleares,España,House,"Carretera de Platge Den Bossa, Ibiza, España"
173234,South West Four 2011 - Día 1,2011-08-27,</b> artistas por anunciar,12:00-21:00h,1,No Disponible,"","","",Extranjero,UK,House,", , UK"
173235,South West Four 2011 - Día 2,2011-08-28,</b> artistas por anunciar,12:00-21:00h,1,No Disponible,"","","",Extranjero,UK,House,", , UK"
175441,Vagabundos 2011,2011-08-28,</b> djs por anunciar,00:00-07:00h,334,Pacha Ibiza,Pacha_Ibiza.jpg,Avda 8 de Agosto s/n,Ibiza,Baleares,España,House,"Avda 8 de Agosto s/n, Ibiza, España"
173190,Burning Man 2011 - Día 1,2011-08-29,</b> artistas por anunciar,Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,USA,sin especificar,"Sin confirmar, Sin confirmar, USA"
175458,Cocoon Ibiza 2011,2011-08-29,</b> djs por anunciar,00:00-07:00h,412,Amnesia,Amnesia_Ibiza.jpg,Carrer d'Eivissa-San Antoni,San Rafael. Ibiza,Baleares,España,Techno,"Carrer d'Eivissa-San Antoni, San Rafael. Ibiza, España"
173191,Burning Man 2011 - Día 2,2011-08-30,</b> artistas por anunciar,Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,USA,sin especificar,"Sin confirmar, Sin confirmar, USA"
174363,Carl Cox: The Revolution Continues,2011-08-30,Carl Cox + ...,20:00-07:00h,333,Space Ibiza,Space_Ibiza.jpg,Carretera de Platge Den Bossa,Ibiza,Baleares,España,House,"Carretera de Platge Den Bossa, Ibiza, España"
173192,Burning Man 2011 - Día 3,2011-08-31,</b> artistas por anunciar,Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,USA,sin especificar,"Sin confirmar, Sin confirmar, USA"
173072,Outlook Festival 2011 - Día 1,2011-09-01,"</b>
Artistas confirmados para 2011:
Barrington Levy + Pharoahe Monch + Skream + Benga + David Rodigan + Digital Mystikz  Mala & Coki + Congo Natty & Tenor Fly + Foreign Beggars + Loefah + Kode 9 & Space Ape Live + Twinkle Brothers + The Bug & Flowdan + Iration Steppas + Gentlemans Dub Club + Hudson Mohawke + Benji B + Hatcha + N-Type + Plastician + Shackleton + Scuba + Martyn + Pearson Sound Aka Ramadanman + Mj Cole + Roska + Spectrasoul + Alix Perez + Commix + Jehst + P Money + Space Dimension Controller + True Tiger + Zed Bias + Rustie + Untold + Mistajam + Newham Generals + Bok Bok + L-Vis 1990 + Break + D-Bridge + Instra:Mental + Submotion Orchestra + Oneman + Icicle + Spy + Chef + Mosca + Addison Groove + Quest & Silkie + Teebs + Channel One Soundsystem + Trojan Soundsystem + Obf + Jahtari + Prince Fatty + Nicky Blackmarket + Broken'English + ...",Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,Croacia,Breaks,"Sin confirmar, Sin confirmar, Croacia"
