cartodb_id,mean_lateness,late_count,                  longitude,latitude,created_at,updated_at
52,4.10958904109589,3,                  12.2551035,41.80258,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
53,0,0,                  -1.709616,55.037376,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
54,38.095238095238095,8,                  34.782086,32.114463,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
55,0,0,                  -81.7747399,26.1483457,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
56,0,0,                  -0.1262362,51.5001524,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
57,0,0,                  -3.823748,43.4232129,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
58,0,0,                  16.0605328,45.7327446,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
59,0,0,                  29.309167,40.898333,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
60,0,0,                  -0.4761686,39.4928577,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
61,0,0,                  37.899494,55.414566,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
62,0,0,                  -5.6459299,42.5915172,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
63,0,0,                  -84.444032,33.639975,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
64,0,0,                  -8.4892051,51.8489157,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
65,0,0,                  2.1155185,49.4564626,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
66,0,0,                  9.2726933,45.4557915,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
67,0,0,                  -3.6211339,42.3559887,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
68,0,0,                  23.9793629,56.9221227,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
69,0,0,                  -66.1211111,18.4577777,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
70,18.181818181818183,2,                  -91.818336,39.157501,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
71,10.344827586206897,3,                  -4.8453501,41.7066403,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
72,0,0,                  7.6123905,51.5150296,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
73,10,2,                  -7.586667,33.36667,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
74,2.9850746268656714,2,                  8.7228391,45.6313567,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
75,42.857142857142854,6,                  30.895,50.345,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
76,0,0,                  28.24259,-26.13321,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
77,11.11111111111111,2,                  7.5206958,47.6038767,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
78,0,0,                  20.3071546,44.8168839,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
79,0,0,                  67.1617573,24.9009286,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
80,0,0,                  10.3976474,43.6958547,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
81,0,0,                  12.1294375,55.5902955,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
82,0,0,                  -1.6602046,53.8691613,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
83,33.33333333333333,2,                  -70.785833,-33.390556,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
84,0,0,                  -13.6062749,28.9512597,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
85,0,0,                  12.3432705,45.5049981,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
86,0,0,                  -8.4164642,42.8991292,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
