"link","body","objectType","postedTime","favoritesCount","twitter_lang","retweetCount","actor_id","actor_displayName","actor_image","actor_summary","actor_postedTime","actor_location","actor_utcOffset","actor_preferredUsername","actor_friendsCount","actor_followersCount","actor_listedCount","actor_statusesCount","actor_verified","inReplyTo_link","geo","twitter_entities","location_geo","location_name","the_geom","category_name","category_terms"
"http://twitter.com/AyuYic/statuses/801081703280377857","RT @darioingiusto: Djibouti : ma 1ère page de carto géopolitique dans @lemondefr de dimanche-lundi réalisée avec @FranceFattori   @LM_enCar…","activity","2016-11-22T15:15:36.000Z","0","fr","20","id:twitter.com:3482748801","Ayan Yacin","https://pbs.twimg.com/profile_images/794495797438119936/xkS9Xwig_normal.jpg","꿈은 믿음을 유지했다...  Kpop lover, anime lover and Kdrama lover.    랍 멋타  사랑해","2015-08-29T18:12:36.735Z","{""objectType"":""place"",""displayName"":""Djibouti""}",,"AyuYic","237","16","0","147","false",,,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""darioingiusto"",""name"":""Dario Ingiusto"",""id"":14848469,""id_str"":""14848469"",""indices"":[3,17]},{""screen_name"":""lemondefr"",""name"":""Le Monde"",""id"":24744541,""id_str"":""24744541"",""indices"":[70,80]},{""screen_name"":""FranceFattori"",""name"":""Francesca Fattori"",""id"":3141702537,""id_str"":""3141702537"",""indices"":[113,127]}],""symbols"":[]}",,,"{""coordinates"":[42.5,11.5],""type"":""point""}","sample category","term1 term2"
"http://twitter.com/ozkboys/statuses/801080685561683968","@rsos_carto えぇ…","activity","2016-11-22T15:11:33.000Z","0","ja","0","id:twitter.com:769763782406967296","ナ","https://pbs.twimg.com/profile_images/797377943831859200/rrd2O5iZ_normal.jpg","イスガイ…な俺！サンシャインに輝く俺😎","2016-08-28T05:09:22.235Z","{""objectType"":""place"",""displayName"":""こまめきくこ様""}","-28800","ozkboys","30","30","2","5252","false","http://twitter.com/rsos_carto/statuses/801076532210864128",,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""rsos_carto"",""name"":""れ"",""id"":800665746405605376,""id_str"":""800665746405605376"",""indices"":[0,11]}],""symbols"":[]}",,,"","sample category","term1 term2"
"http://twitter.com/jusi_0524/statuses/801080565017391104","@rsos_carto かわいいー！(なでなで)","activity","2016-11-22T15:11:04.000Z","0","ja","0","id:twitter.com:800590021291978752","十四松","https://pbs.twimg.com/profile_images/800844378231058432/ZTDDG_jN_normal.jpg",,"2016-11-21T06:41:50.131Z",,,"jusi_0524","9","9","0","33","false","http://twitter.com/rsos_carto/statuses/801046042867175424",,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""rsos_carto"",""name"":""れ"",""id"":800665746405605376,""id_str"":""800665746405605376"",""indices"":[0,11]}],""symbols"":[]}",,,"","sample category","term1 term2"
